id	ordinal	section	subsection	item_type	register	source_display	source_jyutping	source_english	source_morpheme_gloss	source_hash	relation	source_internal_duplicate_of	project_record_id	project_status	lifecycle_status	canonical_exact_owners	supporting_exact_owners	discrepancy_types	review_state
GLOSSIKA-YUEHK-A1-W17-20260712-I027	27	vocabulary_and_situations	emotions_and_states	lexical_entry		鍾意	zung1 ji3	to like		sha256:bde964e876a1836cd9fe0568a72efe7958f7bdd964969e9c18266eed177f4d7b	exact_duplicate		LEX-W17-016	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/parser/detectors/modality/intention-preference.js|src/parser/detectors/transfer/passive-permissive.js|src/parser/features/token-features.js|src/parser/orchestration/wrap-core.js|src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js|src/runtime-resources/lexicon/token-lexicon/verbs.js	data/construction-adjudication-batches/batch-05.json|data/construction-adjudication-batches/batch-07.json|data/construction-adjudication-batches/batch-08.json|data/construction-identities.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/source.json|docs/research/COMPLEMENT-OMISSION-AND-VALENCY-SOURCE-MAP-CP021B-R26.md|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-05.md|docs/research/CONSTRUCTION-ADJUDICATION-BATCH-08.md|docs/research/CP022-IMPLEMENTATION-BACKLOG-CP021B-R37.tsv|docs/research/CP051-P1-COPULAR-ANOTA-RECONCILIATION-R1.md|docs/research/MODAL-DESIDERATIVE-PREFERENCE-SOURCE-MAP-CP021B-R14.md|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|docs/research/PARSER-CONSTRUCTION-INTERNAL-PROVENANCE-REGISTER-CP021B-R37.tsv|docs/research/PARSER-CONSTRUCTION-INTERNAL-PROVENANCE-REGISTER-CP022-I1A-I04-R1.tsv|docs/research/PARSER-CONSTRUCTION-SOURCE-COVERAGE-CP021B-R37.tsv|docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/PARSER-CONSTRUCTION-SOURCE-REGISTER-CP021B-R37.tsv|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-COLLISION-AUDIT-R1.tsv|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-RESEARCH-R1.md|docs/research/PRQ2-035-NING4JYUN6-DOU1-COMMITTED-PREFERENCE-COLLISION-AUDIT-R1.tsv|docs/research/UC-RQ-004-CANTONESE-EQUATIVE-CONSTRUCTION-RESEARCH-R1.md|docs/research/UC-RQ-025-NULL-ARGUMENT-ZERO-ANAPHORA-COLLISION-AUDIT-R1.tsv|docs/research/UC-RQ-025-NULL-ARGUMENT-ZERO-ANAPHORA-RESEARCH-R1.md|docs/research/UC-RQ-027-ZEOI3-SUPERLATIVE-RESEARCH-R1.md|docs/research/UC-RQ-027-ZEOI3-SUPERLATIVE-SOURCE-VERIFICATION-R1.tsv|grammar/research_pending/ComplementEllipsisFragment.md|grammar/research_pending/FragmentAnswer.md|grammar/research_pending/PreferenceVP.md|grammar/unsupported_generalization/CopularANotAQuestion.md|test-data/a1-context-status-fixture.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-corpus-semantic-disposition.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/CopularANotAQuestion.json|tests/constructions/NeedsContext.json|tests/constructions/PreferenceVP.json|tests/fixtures/regression-snapshots.json|tests/tooling/corpus-review/test_aa07_hkcancor_profile.py		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I028	28	vocabulary_and_situations	emotions_and_states	lexical_entry		唔鍾意	m4 zung1 ji3	to dislike		sha256:ff5688d0b905c3bce9f43bcb0db4592485583eea5c7477a22be815dd0bd3f9f1	exact_duplicate		LEX-W17-017	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	docs/research/PARSER-CONSTRUCTION-SOURCE-MATRIX-CP021B-R37.tsv|docs/research/PRQ2-015-MUI5-GO3GO3-DOU1-DISTRIBUTIVE-QUANTIFICATION-RESEARCH-R1.md|docs/research/PRQ2-035-NING4JYUN6-DOU1-COMMITTED-PREFERENCE-COLLISION-AUDIT-R1.tsv|docs/research/UC-RQ-025-NULL-ARGUMENT-ZERO-ANAPHORA-RESEARCH-R1.md|test-data/a1-context-status-fixture.tsv|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/PreferenceVP.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I029	29	vocabulary_and_situations	emotions_and_states	lexical_entry		興奮	hing1 fan5	excited		sha256:0b707fd736df0a0700a691d4f57c7c0e72f9a8d53622d706428bce2b63f66579	exact_duplicate		LEX-W17-018	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I030	30	vocabulary_and_situations	emotions_and_states	lexical_entry		孤獨	gu1 duk6	lonely		sha256:c13a37c0c6d793560f56d0a469cab1caa8a1cae58dcc9be99444e33171478c1f	exact_duplicate		LEX-W17-019	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I031	31	vocabulary_and_situations	emotions_and_states	lexical_entry		滿足	mun5 zuk1	satisfied		sha256:993adeb3be97d98abcceb2cf02556fd6d8a2ef5fd0dd0396d5ee0e1c07fa3df4	exact_duplicate		LEX-W17-020	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I032	32	vocabulary_and_situations	emotions_and_states	lexical_entry		驕傲	giu1 ngou6	proud		sha256:24520926fde30590ae4ebffa3edf09d718d23b4ff2339f6cc007baafad800a2b	exact_duplicate		LEX-W17-021	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I033	33	vocabulary_and_situations	emotions_and_states	lexical_entry		嫉妒	zat6 dou3	jealous		sha256:ac28b70774c2a331cb01a97fcea4b4fe269153d8773cc34b486065cfe8018f4f	exact_duplicate		LEX-W17-022	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I034	34	vocabulary_and_situations	emotions_and_states	lexical_entry		焦慮	ziu1 leoi6	anxious		sha256:1b05de803a342588725f6f3017e848c5defe272e24341edca957aba7112c2007	exact_duplicate		LEX-W17-023	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I035	35	vocabulary_and_situations	emotions_and_states	lexical_entry		感激	gam2 gik1	grateful		sha256:4f11925873c1af029c3fcd8f186f176ea2d064c922f91958e4fa3e1c318c17b4	exact_duplicate		LEX-W17-024	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I036	36	vocabulary_and_situations	emotions_and_states	lexical_entry		慚愧	caam4 kwai5	ashamed		sha256:9296c37a519472cd4e0ade2f717dc0bac6865f45c380e9b3cffe5f576dcbcaa5	exact_duplicate		LEX-W17-025	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I037	37	vocabulary_and_situations	emotions_and_states	lexical_entry		害怕	hoi6 paa3	afraid		sha256:421d058b9a8f7e086b696536eb4f99a3f96d1fa0d1d956f3da6334c2b7c0bf19	exact_duplicate		LEX-W17-026	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I038	38	vocabulary_and_situations	emotions_and_states	lexical_entry		感恩	gam2 jan1	thankful		sha256:963f968226cfcb4161c5f032ffc37547830e4ed967c21f397e533eb2b6fdcca3	exact_duplicate		LEX-W17-027	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I039	39	vocabulary_and_situations	emotions_and_states	lexical_entry		好奇	hou2 kei4	curious		sha256:5f7e36e9171a71ffccd51883f8070812d8fffa63d4cc505d5328ffe8a8a84b26	exact_duplicate		LEX-W17-028	REVIEW	WAITING_EXTERNAL_EVIDENCE	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv	pronunciation_review_unresolved	REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I040	40	vocabulary_and_situations	emotions_and_states	lexical_entry		樂觀	lok6 gun1	optimistic		sha256:29f23f25981af31ab43f5992382a0a6d24e7f77b07b9e250fda868f9b250ac9a	exact_duplicate		LEX-W17-029	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I041	41	vocabulary_and_situations	numbers	lexical_entry		一千萬	jat1 cin1 maan6	10 million		sha256:daffeeb416b16e16f2e8fa9444f23991da1b89d020a1a05209cf46cedad3359d	exact_duplicate		LEX-W17-030	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/items.tsv|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/review.json|data/pedagogical-corpus/glossika/GLOSSIKA-YUEHK-A1-W16-20260705/source.json|docs/research/GLOSSIKA-WEEK16-LEXICON-PROVENANCE.md|test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv|tests/tooling/lexicon/glossika-week16-runtime-lexicon.test.js		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I042	42	vocabulary_and_situations	numbers	lexical_entry		二千萬	ji6 cin1 maan6	20 million		sha256:5ac412f0bc411cdb7aaf4fc2b031123925e2dfb9c95d8754155ebc164515bfde	exact_duplicate		LEX-W17-031	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I043	43	vocabulary_and_situations	numbers	lexical_entry		三千萬	saam1 cin1 maan6	30 million		sha256:d4e64fad0e69655cf69aeb2a02d61b585ccc1005041c8ff2b02da616782056f4	exact_duplicate		LEX-W17-032	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I044	44	vocabulary_and_situations	numbers	lexical_entry		四千萬	sei3 cin1 maan6	40 million		sha256:e1287c663b2ea15eb492baa4434ab12db9a39840f2eee36278bab9414f1f0166	exact_duplicate		LEX-W17-033	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I045	45	vocabulary_and_situations	numbers	lexical_entry		五千萬	ng5 cin1 maan6	50 million		sha256:cb77fb3f5e7b89c8a05dba59d4f6450641ee8a32a3648ba6620611938c85ad55	exact_duplicate		LEX-W17-034	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I046	46	vocabulary_and_situations	numbers	lexical_entry		六千萬	luk6 cin1 maan6	60 million		sha256:b9740de12d8c8f7b050f5894a20c31719081c05298a433ba5c2bd1488353965e	exact_duplicate		LEX-W17-035	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I047	47	vocabulary_and_situations	numbers	lexical_entry		七千萬	cat1 cin1 maan6	70 million		sha256:6669e3cb5b070fa829312f81c943e8948b3438510a1c456eb9c3091ab35e45af	exact_duplicate		LEX-W17-036	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I048	48	vocabulary_and_situations	numbers	lexical_entry		八千萬	baat3 cin1 maan6	80 million		sha256:e9ffcd5f9b217391819fd4f8e1dd9a872d809ab69faa43dec093965dc3e97179	exact_duplicate		LEX-W17-037	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I049	49	vocabulary_and_situations	numbers	lexical_entry		九千萬	gau2 cin1 maan6	90 million		sha256:9c2a22771089ea4c44f7f34831aaf24873a5db46644aa097e73343204c57da1a	exact_duplicate		LEX-W17-038	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I050	50	vocabulary_and_situations	numbers	lexical_entry		一億	jat1 jik1	100 million		sha256:a59b10193225874e0dc5564ae10d1a527c9b48ee3c61c26777658efc58d84aae	exact_duplicate		LEX-W17-039	PROMOTED_ACCEPTED	PROMOTED_ACCEPTED	src/runtime-resources/lexicon/compositional-lexical-phrases.js|src/runtime-resources/lexicon/token-lexicon/referents-and-boundaries.js	test-data/review-only-readiness.tsv|test-data/w17-lexicon-role-review.tsv|test-data/w17-lexicon.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I051	51	vocabulary_and_situations	situation_patterns	sentence	casual	我最近好大壓力。	Ngo5 zeoi3 gan6 hou2 daai6 aat3 lik6.	I've been under a lot of stress lately.	I most-recent very big pressure	sha256:4e9231617117c8837b4a38e8764af0f73cf573a9d23c6c214b94ca90108720ed	exact_duplicate		COR-W17-009	REVIEW	REVIEW_ONLY		docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/native-speaker-naturalness-evidence-v1.json|test-data/native-speaker-naturalness-evidence-v1.tsv|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/FormulaDiscourseUnit.json|tests/constructions/ModifierNP.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I052	52	vocabulary_and_situations	situation_patterns	sentence	casual	你攰唔攰？不如休息吓。	Nei5 gui6 m4 gui6? bat1 jyu4 jau1 sik1 haa5.	Are you tired? Why don't you take a break.	you tired NEG tired why-not rest briefly	sha256:9371a34dc84d3d993fac1ca49e88701865860a5247039b4777049ae222b11694	exact_duplicate		COR-W17-010	PASS	REVIEW_ONLY		grammar/unsupported_generalization/SuggestionQuestion.md|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/SuggestionQuestion.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I053	53	vocabulary_and_situations	situation_patterns	sentence	casual	考完試好開心！	Haau2 jyun4 si3 hou2 hoi1 sam1!	So happy the exams are over!	finish exam very happy	sha256:1f9458f773c12621249a0d4ae8d89a8adcb077376585705151568106b97723eb	exact_duplicate		COR-W17-011	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I054	54	vocabulary_and_situations	situation_patterns	sentence	casual	佢今日好似好嬲。	Keoi5 gam1 jat6 hou2 ci5 hou2 nau1.	He seems really angry today.	he today very seem very angry	sha256:f29bf4397d06a38d4db69ef0efdf0197e4c7cfd94443853816206f49f5f058f0	exact_duplicate		COR-W17-012	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I055	55	vocabulary_and_situations	mini_dialog	dialog_turn	casual	你塊面好似唔開心噃。	Nei5 faai3 min6 hou2 ci5 m4 hoi1 sam1 bo3.	You look unhappy.	you CLF face very seem NEG happy PART	sha256:73e1eea27c15d6a98ba976ba3691f84d37a4bfdfeb36a4ccb2b8b71d649b0e9d	exact_duplicate		COR-W17-013	REVIEW	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I056	56	vocabulary_and_situations	mini_dialog	dialog_turn	casual	係呀，我最近好大壓力。	Hai6 aa3, ngo5 zeoi3 gan6 hou2 daai6 aat3 lik6.	Yeah, I've been really stressed out lately.	yes PART I most-recent very big pressure	sha256:871939b5a861c1d308e3d8ab6de0ceaaf643a515d24c01a8304a304d00241d76	exact_duplicate		COR-W17-014	REVIEW	REVIEW_ONLY		docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/ClauseSpan.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/FormulaDiscourseUnit.json|tests/constructions/ModifierNP.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I057	57	vocabulary_and_situations	mini_dialog	dialog_turn	casual	點解呀？做嘢太忙？	Dim2 gaai2 aa3? zou6 je5 taai3 mong4?	Why? Too busy with work?	why PART do thing too busy	sha256:a75ab0a40b08b15609b382586be19d2a1bfb83377c6128ff5c799d69d52b2f98	exact_duplicate		COR-W17-015	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I058	58	vocabulary_and_situations	mini_dialog	dialog_turn	casual	係呀，日日OT到好夜。	Hai6 aa3, jat6 jat6 ou1 ti1 dou3 hou2 je6.	Yeah, working overtime every day until very late.	yes PART day-day overtime until very late	sha256:9ab02c01c66ec12d4e5b208ff4ab3df5ea950e082c26492118b0f112604134ad	exact_duplicate		COR-W17-016	PASS	PROMOTED_ACCEPTED		docs/research/EVALUATION-PACKET-BLUEPRINTS-CP021B-R37.json|docs/research/PARSER-CONSTRUCTION-CANONICAL-CONSOLIDATION-MATRIX-CP021B-R35.tsv|test-data/cp021b-lx1-construction-freeze-baseline.json|test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv|tests/constructions/ClauseRelationGraph.json|tests/constructions/DegreeStativePredicate.json|tests/constructions/FormulaDiscourseUnit.json|tests/constructions/TemporalClause.json|tests/fixtures/regression-snapshots.json		REQUIRES_EXPERT_CONTEXT_REVIEW
GLOSSIKA-YUEHK-A1-W17-20260712-I059	59	vocabulary_and_situations	mini_dialog	dialog_turn	casual	你要注意身體，唞多啲呀。	Nei5 jiu3 zyu3 ji3 san1 tai2, tau2 do1 di1 aa3.	Take care of yourself, get more rest.	you need pay-attention body rest more a-bit PART	sha256:6e10fc9078d73d6e3bd945836c74b59a39ec33ce92556b584e8394861d007a73	exact_duplicate		COR-W17-017	PASS	REVIEW_ONLY		test-data/review-only-readiness.tsv|test-data/w17-functional-corpus.tsv|test-data/w17-glossika-corpus.tsv	translation_difference	REQUIRES_EXPERT_CONTEXT_REVIEW
