packet_row_zero_based	candidate_id	selection_reasons	repetition_mode	base_surface	matched_surface_span	matched_hkcancor_pos	matched_ud_pos	matched_jyutping	second_token_form	second_token_hkcancor_pos	second_token_jyutping	has_local_predicate_candidate	predicate_distance_lexical_tokens	local_predicate_form	local_predicate_hkcancor_pos	local_predicate_ud_pos	local_predicate_jyutping	source_file	turn_index_zero_based	participant	text	previous_text	next_text	expert_classification	expert_subtype	confidence	reviewer_note	parser_implication
81	aa84br-1522dfbe2434fad38e52	sound_lexical	adjacent_identical_tokens	卜	卜卜	o	X	buk4	卜	o	buk2	True	2	係	v	VERB	hai6	FC-048_v2.cha	245	XXC	嘩飲到呢,個心跳到呢,卜卜聲,係唔敢飲噉.	我都試過.	唔係啊.					
82	aa84br-e7a20b612e319c0b37f6	fixed_mode_pos_host_control	adjacent_identical_tokens	一	一一	m	NUM	jat1	一	m	jat1	True	1	大	a	ADJ	daai6	FC-049_v2.cha	161	XXA	即係一一大堆噉唔知乜鬼廢-廢柴噉.	即係大家都係喺度𠻺揾唔到嘢寫,亂咁aa5寫大○呢.	噉唔係.					
83	aa84br-cf73cd0900337d9ec287	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	4	來	v	VERB	lai4	FC-052_v2.cha	62	XXB	其實就係-係好好一部機來𠸏.	DVD就唔係唔流行𠸏.	喀喀.					
84	aa84br-268af71a6afbd8363536	kin_name	internally_repeated_token	媽	媽媽	n	NOUN	maa4maa1				True	2	會	vu	AUX	wui5	FC-053_v2.cha	64	XXA	同埋呢嗰個同學呢一到小息呢係爸爸媽媽呢會入來睇佢放小息𡃉喎.	噉所以而家學校呢喺我個課室又一定要開住個冷氣機嘞.	噉所以呢爸爸媽媽同埋佢一齊嘅時候呢,噉嗰啲學生-其他同學呢就唔敢同哩個同學呢傾偈-同佢玩𡃉嚹喎.					
85	aa84br-7b8e95e9d9c443e0f34c	kin_name	internally_repeated_token	爸	爸爸	n	NOUN	baa4baa1				False						FC-053_v2.cha	65	XXA	噉所以呢爸爸媽媽同埋佢一齊嘅時候呢,噉嗰啲學生-其他同學呢就唔敢同哩個同學呢傾偈-同佢玩𡃉嚹喎.	同埋呢嗰個同學呢一到小息呢係爸爸媽媽呢會入來睇佢放小息𡃉喎.	噉所以哩個同學就已經退咗學𡃉嚹.					
86	aa84br-4d2deff0addd6b19b4dd	kin_name	internally_repeated_token	媽	媽媽	n	NOUN	maa4maa1				False						FC-053_v2.cha	65	XXA	噉所以呢爸爸媽媽同埋佢一齊嘅時候呢,噉嗰啲學生-其他同學呢就唔敢同哩個同學呢傾偈-同佢玩𡃉嚹喎.	同埋呢嗰個同學呢一到小息呢係爸爸媽媽呢會入來睇佢放小息𡃉喎.	噉所以哩個同學就已經退咗學𡃉嚹.					
87	aa84br-58d84166120c5c99bf7d	all_manner_property_anchors;capped_internal_adv_by_base_host	internally_repeated_token	偏	偏偏	d	ADV	pin1pin1				True	4	揀	v	VERB	gaan2	FC-055_v2.cha	25	XXM	但係佢哋偏偏又喺香港揀來上市,因為可以揾大錢吖嗎.	但係佢哋嘅分別呢,就係,H股呢,就係佢哋嘅註冊地呢,就喺大陸.	但係紅籌股呢,就唔同嘞.					
88	aa84br-69919703ec79bac295bc	quantity	internally_repeated_token	啲	啲啲	m	NUM	di1di1				True	2	俾	v	VERB	bei2	FC-055_v2.cha	52	XXM	其他三分二海外啊,留返啲啲咪俾啲大陸嗰啲人買囖.	噉有幾多分,有三分一𠻺,喺香港集資啊.	但係大陸買股票好鬼艱難𠺢嗎.					
89	aa84br-45b2230ded2a5b7ffb98	capped_internal_verb_by_base_host	internally_repeated_token	升	升升	Vg	VERB	sing1sing1				True	1	升升跌跌	v	VERB	sing1sing1dit3dit3	FC-055_v2.cha	82	XXM	恆生指數有佢份𡃉,佢嘅人升升,升升跌跌.	係嘞.	哦.					
90	aa84br-2c4573de1e346162dcf2	capped_internal_adv_by_base_host	internally_repeated_token	日	日日	t	ADV	jat6jat6				True	1	哺	v	VERB	bou6	FC-055_v2.cha	199	XXM	日日哺住喺嗰度咪得.	係啊.	係啊.					
91	aa84br-a46e188f80f95a2eb7e0	sound_lexical	internally_repeated_token	dan4dan3	dan4dan3dan4dan3	o	X	dan4dan3dan4dan3				False						FC-055_v2.cha	236	XXM	噉講dan4dan3dan4dan3.	唔講肥貓呀?	你都黐線嘅.					
92	aa84br-ee5fad8bd6bb54167528	sound_lexical	internally_repeated_token	dan1dan1	dan1dan1dan1dan1	o	X	dan1dan1dan1dan1				False						FC-055_v2.cha	302	XXF	dan1dan1dan1dan1.	dan4dan3dan4dan3.	time'sup.					
93	aa84br-aa95c41e82960149c3bc	sound_lexical	internally_repeated_token	but1	but1but1	o	X	but1but1				False						FC-055_v2.cha	306	XXF	but1but1.	拜拜.	發覺唔夠時間.					
94	aa84br-3971ba80f5622dcc5a16	sound_lexical	internally_repeated_token	eu1eu1	eu1eu1eu1eu1	xx	X	eu1eu1eu1eu1				False						FC-055_v2.cha	470	XXM	eu1eu1eu1eu1.	dan4dan3dan4dan3.	eu1eu1eu1eu1.					
95	aa84br-6f6bb0f37ac966842e18	distributive	internally_repeated_token	盒	盒盒	q	NOUN	hap6hap6				True	3	貴	a	ADJ	gwai3	FC-056_v2.cha	77	XXY	同埋啲game呢,係一盒盒帶好貴吖.	但係嗰度宣傳唔夠啊所以.	出唔到翻版,噉又好少人去玩囖.					
96	aa84br-82ec4c0ac0e623a61081	sound_lexical	internally_repeated_token	桀	桀桀	o	X	kit1kit1				False						FC-101_v2.cha	27	XXB	有時你會桀桀卡卡.	同人傾生意?	跟住你又-又對-社會觸覺又冇喎.					
97	aa84br-357d9d500a2bdabb7fa8	sound_lexical	internally_repeated_token	卡	卡卡	o	X	kaa1kaa1				False						FC-101_v2.cha	27	XXB	有時你會桀桀卡卡.	同人傾生意?	跟住你又-又對-社會觸覺又冇喎.					
98	aa84br-c0d44270f0867d384b56	event	adjacent_identical_tokens	做	做做	v	VERB	zou6	做	v	zou6	True	2	學	v	VERB	hok6	FC-101_v2.cha	58	XXG	喂,噉梗係做做下學-一邊做一邊學𡃉喇.	如果下下要人點呢,就唔掂𡃉嚹.	我知.					
99	aa84br-4ec2377c05e9f1c425e7	fixed_mode_pos_host_control	internally_repeated_token	乜	乜乜	r	PRON	mat1mat1				False						FC-103_v2.cha	63	XXB	佢喺佢個大本營就喺九龍嘅,有個唔知乜乜同鄉會之類嗰啲嘢,即係專招呼佢哋.	所以就...係喇,聽晚會來我哋屋企食飯喇,嗯,跟住就唔知嚹,跟住佢可能住多一-一,兩日啩喺我哋屋企.	哦.					
100	aa84br-8a787f1b69e913af8f05	event	adjacent_identical_tokens	傾	傾傾	v	VERB	king1	傾	v	king1	True	1	傾偈	v	VERB	king1gai2	FC-103_v2.cha	78	XXB	傾偈喇,傾傾傾偈傾得多囖.	係喇,幾好吖,都幾好玩,係喇.	我問阿威呢,邊個玩得最癲,佢話佢喎.					
101	aa84br-9ea1c2140f85d50c9b1b	capped_internal_verb_by_base_host;event	internally_repeated_token	走	走走	v	VERB	zau2zau2				True	1	糴糴	v	VERB	dek3dek3	FC-103_v2.cha	88	XXB	係,噉又係,我諗佢哋係夜瞓咗,同埋即係要好多行來行去啊,走走糴糴啊噉樣囖,係囖我哋就冇乜嘢啊都係噉樣.	都係噉樣.	嗱,噉哩一個chapter就講信心喇,不過我發覺後面有啲經文就唔係幾拏更嘅,所以我就揀咗另外一啲嘅經文.					
102	aa84br-d6d690f0968e9d47e488	capped_internal_verb_by_base_host	internally_repeated_token	糴	糴糴	v	VERB	dek3dek3				True	4	係	v	VERB	hai6	FC-103_v2.cha	88	XXB	係,噉又係,我諗佢哋係夜瞓咗,同埋即係要好多行來行去啊,走走糴糴啊噉樣囖,係囖我哋就冇乜嘢啊都係噉樣.	都係噉樣.	嗱,噉哩一個chapter就講信心喇,不過我發覺後面有啲經文就唔係幾拏更嘅,所以我就揀咗另外一啲嘅經文.					
103	aa84br-d1201a6ced134107de5a	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	2	有	v1	VERB	jau5	FC-103_v2.cha	113	XXA	"佢就話,""faithisbeingsureofwhatwehopefor""喇,同埋係""certainofweare,certainofwhatwedonotsee""就好似正話你所講,即係對一啲你想發生嘅嘢呢,係好好,好有嗰個certainty同埋好sure嘅,你可以肯定到,但係未發生𡃉喎."	好喇.	嗯.					
104	aa84br-6a7187bd83d02bc6fc8f	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	4	俾	v	VERB	bei2	FC-103_v2.cha	183	XXA	"噉當然喇,即係其實耶穌都對多瑪好好,佢都終於俾佢真係見到佢,即係耶穌佢都講喇,佢特登喺廿七節嘅時候,同多瑪講,佢話""你伸隻手來摸下我隻手喇,同埋摸下我個肋膀喇噉."	嗯.	"""因為其實耶穌就知道之前多瑪唔信𡃉,所以耶穌就對佢好好,即係佢特登俾佢experience,同埋俾佢見到."					
105	aa84br-0aa6d0ff7d1d15ed68bb	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	a	hou2	True	4	俾	v	VERB	bei2	FC-103_v2.cha	184	XXA	"""因為其實耶穌就知道之前多瑪唔信𡃉,所以耶穌就對佢好好,即係佢特登俾佢experience,同埋俾佢見到."	"噉當然喇,即係其實耶穌都對多瑪好好,佢都終於俾佢真係見到佢,即係耶穌佢都講喇,佢特登喺廿七節嘅時候,同多瑪講,佢話""你伸隻手來摸下我隻手喇,同埋摸下我個肋膀喇噉."	不過我諗,即係唔係個個人可以見到,即係耶穌復活哩件事喇,噉所以-所以即係耶穌expect,或者佢話嗰啲冇親眼見到,但係都信嗰啲呢就更加好啊比起哩啲.					
106	aa84br-1ce826983ba4f833b448	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	怪	a	ADJ	gwaai3	FC-104_v2.cha	46	XXB	佢好似好好怪啊我覺得佢個樣好唔自然.	你-你留意睇下吖,琴日幾鬼老土,成日木起個咀噉樣囖.	嗰時周海媚應該幾多歲啊?					
107	aa84br-1a4f5672456b8863f3d3	fixed_mode_pos_host_control	adjacent_identical_tokens	到	到到	u	PART	dou2	到	u	dou2	True	3	係	v	VERB	hai6	FC-104_v2.cha	119	XXB	"見到到囖就係話,""咦係唔係未來呢?"	見唔見到我吖?	我太靚,唔認得喇.					
108	aa84br-140a77350f069338a1dc	all_adjacent_adjective_runtime_collisions;kin_name	adjacent_identical_tokens	杏	杏杏	a	ADJ	hang6	杏	a	hang2	True	4	差唔多	a	ADJ	caa1m4do1	FC-104_v2.cha	212	XXB	係,格仔𡃉,又係噉樣杏杏哋色囖差唔多.	但係影-原本係乜嘢色𡃉你件衫?	即係唔係灰因為有少少灰啊我覺得.					
109	aa84br-d4843b812470d2cdf0ac	capped_internal_adj_by_base_host;sound_lexical	internally_repeated_token	et1	et1et1	z	ADJ	et1et1				False						FC-104_v2.cha	230	XXA	啊,maybe啊,但係你唔覺得即係我覺得個遠近差唔多,或者可以近et1et1少少.	唔係,哩個假㗎?	係.					
110	aa84br-1cd80dd541c301f3957c	capped_internal_adj_by_base_host;sound_lexical	internally_repeated_token	et1	et1et1	z	ADJ	et1et1				True	3	覺得	v	VERB	gok3dak1	FC-104_v2.cha	232	XXA	但係個,你個唇膏比較淺色,深et1et1少少,我覺得可以.	係.	係喇,我就係覺得唔夠深.					
111	aa84br-dcde86f90941022c1425	temporal_frequency	internally_repeated_token	年	年年	q	NOUN	nin4nin4				True	2	係	v	VERB	hai6	FC-105_v2.cha	12	XXB	年年都係噉打電話俾佢𡃉喇.	長途電話梗係得喇.	哦.					
112	aa84br-f13a491585d6905408b1	capped_internal_verb_by_base_host;event	internally_repeated_token	睇	睇睇	v	VERB	tai2tai2				True	2	得	vu	AUX	dak1	FC-105_v2.cha	49	XXB	所以呢今日返屋企要去幫佢睇睇先得.	佢買中文版.	哦.					
113	aa84br-3cba473154b1c1e027c0	capped_internal_adj_by_base_host	internally_repeated_token	麻	麻麻	z	ADJ	maa4maa4				False						FC-105_v2.cha	347	XXA	唉,總之啊哩個我覺得真係,九七年之前啊,香港哩個環境都係麻麻𡃉嚹.	係囖.	基本上未必香港𠸏.					
114	aa84br-cd65c731786a1a72f7bc	fixed_mode_pos_host_control;kin_name	internally_repeated_token	凱	凱凱	nr	PROPN	hoi2hoi2				True	3	有冇	v1	VERB	jau5mou5	FC-106b_v2.cha	0	XXB	喂!凱凱佢哋琴日有冇來哩度啊?		有呃.					
115	aa84br-b50cd23075e9caa71f61	kin_name	internally_repeated_token	禮	禮禮	nr	PROPN	lai5lai5				True	1	冇	v1	VERB	mou5	FC-106b_v2.cha	3	XXA	不過禮禮冇來喎.	誒,三點零鐘吖嗎.	去咗邊啊?					
116	aa84br-9d4e74c72700789fddf5	kin_name	internally_repeated_token	禮	禮禮	nr	PROPN	lai5lai5				False						FC-106b_v2.cha	5	XXA	禮禮?	去咗邊啊?	咪跟佢阿嬸去咗阿玲玲屋企囖.					
117	aa84br-55d763a6e0923a5ed7cc	kin_name	internally_repeated_token	玲	玲玲	nr	PROPN	ling4ling2				False						FC-106b_v2.cha	6	XXA	咪跟佢阿嬸去咗阿玲玲屋企囖.	禮禮?	佢都制?					
118	aa84br-08c963a64e4d96dd7aab	all_adjacent_adjective_runtime_collisions;all_manner_property_anchors	adjacent_identical_tokens	大	大大	a	ADJ	daai6	大	a	daai6	True	3	自然	a	ADJ	zi6jin4	FC-106b_v2.cha	40	XXB	噉佢大大下就自然識𡃉喇.	但係扣分𠺢嗎.	大大下又錯第二啲𡃉啫.					
119	aa84br-9f37751e3a3735984c96	all_adjacent_adjective_runtime_collisions;all_manner_property_anchors	adjacent_identical_tokens	大	大大	a	ADJ	daai6	大	a	daai6	True	3	錯	a	ADJ	co3	FC-106b_v2.cha	41	XXA	大大下又錯第二啲𡃉啫.	噉佢大大下就自然識𡃉喇.	噉咪係囖,噉-細個嗰啲嘢就自然會識返𡃉喇.					
120	aa84br-d7dc7cb3e5758c0f06d5	distributive	internally_repeated_token	張	張張	q	NOUN	zoeng1zoeng1				True	2	影	v	VERB	jing2	FC-106b_v2.cha	137	XXA	張張淨係影人唔影景喎.	你睇佢吖,唔知影乜嘢𡃉.	算喇.					
121	aa84br-f8817399f1bf85bf462e	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	2	好	a	ADJ	hou2	FC-107_v2.cha	101	XXA	可能係喇,但係有時,冇啊,我打電話去你屋企呢,好似好好好好態度噉𡃉佢.	噉佢係好惡𡃉喎,佢係真係好惡,可能佢對佢老婆唔惡吖嗎.	一時時咯,都話睇下心情咯.					
122	aa84br-53cfc56b18ab05ba8be6	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	好	a	ADJ	hou2	FC-107_v2.cha	101	XXA	可能係喇,但係有時,冇啊,我打電話去你屋企呢,好似好好好好態度噉𡃉佢.	噉佢係好惡𡃉喎,佢係真係好惡,可能佢對佢老婆唔惡吖嗎.	一時時咯,都話睇下心情咯.					
123	aa84br-9f606044230c67343334	capped_internal_adv_by_base_host	internally_repeated_token	少	少少	d	ADV	siu2siu2				True	1	係	v	VERB	hai6	FC-107_v2.cha	146	XXB	有少少係吖.	不過你發唔發覺我哋學校個library都廢𡃉.	唔止少少,永遠都借唔到書𠸏.					
124	aa84br-9fbedf57a0cea972f4a7	capped_internal_adv_by_base_host;quantity	internally_repeated_token	啲	啲啲	d	ADV	di1di1				True	2	有	v1	VERB	jau5	FC-107_v2.cha	195	XXB	自己啲啲,稍為有少少零用錢都冇喎我思疑,重慘過返學啊.	噉𠻺係.	唉,返學,返學都好冇錢啊其實.					
125	aa84br-3d5bbea60353ff367473	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	2	惡劣	a	ADJ	ok3lyut6	FC-108a_v2.cha	65	XXB	係囖!幾衰啊!佢話-小豬話佢態度好好好惡劣啊話,搞到小豬呢即係發晒脾氣嗰隻呢.	點解噉𡃉?	喀.					
126	aa84br-54f6d04866deb1db18cc	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	惡劣	a	ADJ	ok3lyut6	FC-108a_v2.cha	65	XXB	係囖!幾衰啊!佢話-小豬話佢態度好好好惡劣啊話,搞到小豬呢即係發晒脾氣嗰隻呢.	點解噉𡃉?	喀.					
127	aa84br-bb8cc991d426236c1df0	all_manner_property_anchors;capped_internal_adv_by_base_host	internally_repeated_token	好	好好	d	ADV	hou2hou2				True	1	對	v	VERB	deoi3	FC-108a_v2.cha	192	XXA	噉佢有時有乜嘢事唔係成日揾嗰個男仔幫佢手吖,但係自己即係-佢又-佢又唔會話即係好好對返人哋啊,即係淨係有事先揾人哋囖.	噉呢最近嗰排喇,噉同舊時啲小學同學傾開偈呢,啲男仔講開喇,噉佢呢成日呢有乜嘢事都-因為我哋有-有個小學同學呢,佢呢就有架van仔嘅,噉佢就係幫人送貨嗰啲嘅.	噉跟住誒,誒,即係嗰個同學同我講開嗰陣時我都感覺到囖.					
128	aa84br-c34db3106a15c8ba219f	kin_name	internally_repeated_token	奶	奶奶	n	NOUN	naai4naai2				True	2	食	v	VERB	sik6	FC-108a_v2.cha	205	XXA	佢話,誒,誒,噉跟住褸尾嗰次喺佢嗰度傾,話佢結婚嗰日嗰啲嘢嗰陣時,佢重搞笑到呢,你講真啊,你啊,如果平時人哋結婚啊,你啲,誒,兄弟姊妹啊,你都會即係,誒,譬如晏晝食飯啊,如果你喺你奶奶度食,你都會訂張檯俾人哋去茶樓食飯喇,係唔係先?	跟住呢,我同啲同學即係嗰-嗰幾個小學同學講開呢,佢哋都話係囖,覺得佢而家好現實囖,噉樣講.	唔係你唔通唔理人哋食飯嗰啲嘢咩,係唔係先?					
129	aa84br-c42e215ef778403177f6	fixed_mode_pos_host_control	adjacent_identical_tokens	可能	可能可能	vu	AUX	ho2nang4	可能	vu	ho2nang4	True	2	係	v	VERB	hai6	FC-108a_v2.cha	256	XXA	可能可能噉樣係樂趣喇.	噉我唔知嚹.	但係好搞笑囖.					
130	aa84br-1e32c26bc05e0cc830e9	all_adjacent_adjective_runtime_collisions	adjacent_identical_tokens	小一	小一小一	jb	ADJ	siu2jat1	小一	jb	siu2jat1	True	1	開始	v	VERB	hoi1ci2	FC-108a_v2.cha	283	XXA	算係噉喇,咁耐都有聯絡,識咗好多年嚹都,十幾年嚹,成廿年都有嚹可能,十幾年嚹小一小一開始囖.	係啊.	小學,幾多年班先?					
131	aa84br-62dc15c343dc13b70bf1	kin_name	internally_repeated_token	姐	姐姐	n	NOUN	ze4ze1				False						FC-108a_v2.cha	288	XXA	六年小學啊姐姐.	嘩!七年小學七年中學.	啊,係喎,六年小學,七年中學,十三年,跟住而家.					
132	aa84br-fb7f08a4eb099bc73d40	event	adjacent_identical_tokens	做	做做	v	VERB	zou6	做	v	zou6	True	3	夜	a	ADJ	je6	FC-108a_v2.cha	336	XXA	跟住做喇,做做到好夜,做到三點幾先瞓喎.	喀.	"跟住第二朝返到學校呢,我有個同學問我""嘩!做乜嘢你-你隻眼成隻熊貓噉𠸏."					
133	aa84br-df0ea9ca0bcc67b63279	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	易	a	ADJ	ji6	FC-108a_v2.cha	361	XXA	係啊,所以咪其實好好易有病囖啲人.	噉其實如果有乜嘢病菌嗰啲都會傳染噉樣喎.	係囖.					
134	aa84br-83346d9ef1dc836f8afe	capped_internal_verb_by_base_host;sound_lexical	internally_repeated_token	拜	拜拜	v	VERB	baai1baai3				True	2	Miss	xb	ADJ		FC-108c_v2.cha	176	XXA	"我同埋呢好搞笑𡃉佢呢好似成個細路女噉𡃉,嗰次呢,幾搞笑啊,噉我哋上完普通話堂喇,噉啲同學喺度同佢玩,跟住呢-誒,噉呢啲同學話""拜拜嚹Miss."	係喇,所以幾好.	"""跟住呢有個人呢見到見到Miss喇,跟住呢嗰個人話""吓!乜嗰個係Miss來𡃉,點解咁細個𠸏個樣?"					
135	aa84br-0bab6a1c370dc2bd3417	all_manner_property_anchors	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	1	來	v	VERB	lai4	FC-108c_v2.cha	295	XXA	你去到人哋嗰度呢,你會好自由自在噉慢慢來𡃉乜都.	係喇,真係好煩啊有時呢啲嘢呢你做-做乜嘢呢,譬如呢,行步路真係快過人𡃉真係.	係啊,如果喺條街呢慢慢行呢啲人又係噉行呢,會覺得自己好怪囖,行得咁慢.					
136	aa84br-8dc9389d196feaa88861	all_manner_property_anchors	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	1	行	v	VERB	haang4	FC-108c_v2.cha	296	XXB	係啊,如果喺條街呢慢慢行呢啲人又係噉行呢,會覺得自己好怪囖,行得咁慢.	你去到人哋嗰度呢,你會好自由自在噉慢慢來𡃉乜都.	係囖,可能係香港啲人真係實在太急嘞做嘢,好舒服囖.					
137	aa84br-0318ddd01aa2f754bfa3	all_manner_property_anchors	adjacent_identical_tokens	好	好好	d	ADV	hou2	好	d	hou2	True	1	叻	a	ADJ	lek1	FC-108c_v2.cha	338	XXA	噉呢佢就佢嗰種感-俾我種感覺呢係好好叻𡃉,即係好-好有leadership𡃉.	嗯.	有樣睇𡃉哩啲有時我都覺得.					
138	aa84br-119e34d0e5f16c196c40	event	adjacent_identical_tokens	玩	玩玩	v	VERB	waan2	玩	v	waan2	True	2	玩	v	VERB	waan2	FC-108c_v2.cha	342	XXA	噉跟住我都覺得係𠸏,同埋我覺得,誒,即係有時會學到真係而家真係唔好再好似-自己呢好似成個細路女噉囖做嘢,要,誒,即係俾啲係-即係俾人哋感覺你做嘢係認真,開始,誒,係大個嚹,唔係重細路女噉玩玩下玩玩下噉,噉先好囖我覺得.	嗯.	噉𠻺係.					
139	aa84br-c63762bb4a4fc3e60a35	event	adjacent_identical_tokens	玩	玩玩	v	VERB	waan2	玩	v	waan2	True	5	好	a	ADJ	hou2	FC-108c_v2.cha	342	XXA	噉跟住我都覺得係𠸏,同埋我覺得,誒,即係有時會學到真係而家真係唔好再好似-自己呢好似成個細路女噉囖做嘢,要,誒,即係俾啲係-即係俾人哋感覺你做嘢係認真,開始,誒,係大個嚹,唔係重細路女噉玩玩下玩玩下噉,噉先好囖我覺得.	嗯.	噉𠻺係.					
140	aa84br-3598b6218cd541e48d79	distributive	internally_repeated_token	樣	樣樣	q	NOUN	joeng6joeng6				True	2	話	v	VERB	waa6	FC-108c_v2.cha	392	XXB	"樣樣都話唔得,噉咪即係唔使考,唔使見嚹,份份工都話""唉都唔會到我喇."	係囖.	"""噉份份都唔使做啊."					
141	aa84br-b33845dce56e4fa67e0e	distributive	internally_repeated_token	份	份份	q	NOUN	fan6fan6				True	3	話	v	VERB	waa6	FC-108c_v2.cha	392	XXB	"樣樣都話唔得,噉咪即係唔使考,唔使見嚹,份份工都話""唉都唔會到我喇."	係囖.	"""噉份份都唔使做啊."					
142	aa84br-c6e474672c93a2a77edb	distributive	internally_repeated_token	份	份份	q	NOUN	fan6fan6				True	2	唔使	vu	AUX	m4sai2	FC-108c_v2.cha	393	XXB	"""噉份份都唔使做啊."	"樣樣都話唔得,噉咪即係唔使考,唔使見嚹,份份工都話""唉都唔會到我喇."	係囖,噉你咪唔使做,係囖,係喇.					
143	aa84br-592118a295f5e187cabf	capped_internal_adj_by_base_host	internally_repeated_token	少	少少	a	ADJ	siu2siu2				True	4	複	v	VERB	fuk1	FC-108d_v2.cha	87	XXA	係啊,係啊,算幾好喇,幫到做功課囖,哩個測過一次驗,所以practical就都可以話,重有爭少少喇,自己再複下噉囖.	噉咪幾好.	"咦,Practical即係唔係用電腦""""嗰啲啊."					
144	aa84br-0da6d4cc39b36160a29f	event	adjacent_identical_tokens	聽	聽聽	v	VERB	teng1	聽	v	teng1	True	2	冇	v1	VERB	mou5	FC-109a_v2.cha	27	XXA	會唔會跳啲歌詞,突然間聽聽下冇噉樣啊?	未試過.	噉哩個情況𠻺未出現過喎.					
145	aa84br-3c0a536ae0a8c3cf526f	distributive	internally_repeated_token	人	人人	n	NOUN	jan4jan4				True	2	有	v1	VERB	jau5	FC-109a_v2.cha	97	XXB	噉人人都有嘅嘢,自己都想有喇,係唔係?	噉𠻺,冇辦法即係而家-即係大家嘅心態就算我都係.	噉但係你會唔會過份吖?					
146	aa84br-7bd78caf870eb7d82990	all_manner_property_anchors;capped_internal_adv_by_base_host	internally_repeated_token	慢	慢慢	d	ADV	maan6maan2				True	1	覺得	v	VERB	gok3dak1	FC-R002a_v2.cha	164	XXA	但係慢慢覺得佢呢佢話即係佢𠻺覺得佢努力去做一件事啊.	開頭佢覺得佢阿爸好戇居啊做哩啲事,醜啊.	然後得到佢個仔嘅認同嘅.					
147	aa84br-c7ddabb8d55073247cdd	kin_name	internally_repeated_token	太	太太	n	NOUN	taai3taai2				True	4	有	v1	VERB	jau5	FC-R002a_v2.cha	182	XXA	噉另外就同佢太太之間呢亦都有個中年婚姻危機𡃉.	係.	即係覺得太太,冇理由我太太會重-重愛我吖.					
148	aa84br-c01c0e02721709878637	kin_name	internally_repeated_token	太	太太	n	NOUN	taai3taai2				True	1	冇	v1	VERB	mou5	FC-R002a_v2.cha	183	XXA	即係覺得太太,冇理由我太太會重-重愛我吖.	噉另外就同佢太太之間呢亦都有個中年婚姻危機𡃉.	即係我事業又唔得,要樣冇樣,要錢冇錢噉樣.					
149	aa84br-856031cb8024a058ad55	all_manner_property_anchors;capped_internal_adj_by_base_host	internally_repeated_token	淡	淡淡	a	ADJ	daam6daam6				True	2	無奈	a	ADJ	mou4noi6	FC-R002b_v2.cha	193	XXA	但係淡-即係滲着淡淡嘅無奈啊.	噉但係同埋成套戲呢,儘管係一個喜劇或者荒謬嘅主題.	因為喺一個社會裏邊,經濟真係低迷嘅時候,揾唔到嘢,真係係揾唔到嘢做,噉點呢?					
150	aa84br-9224da455035be01b36c	sound_lexical	internally_repeated_token	lik1gu1	lik1gu1lik1gu1	x	X	lik1gu1lik1gu1				True	1	係	v	VERB	hai6	FC-R006_v2.cha	66	XXA	火星話,lik1gu1lik1gu1係火星話來𡃉.	"""唔該,兩番."	"lik1gu1lik1gu1""""""六十番."					
151	aa84br-e208b9eb6c6b702fd6e4	sound_lexical	internally_repeated_token	lik1gu1	lik1gu1lik1gu1	x	X	lik1gu1lik1gu1				False						FC-R006_v2.cha	67	XXB	"lik1gu1lik1gu1""""""六十番."	火星話,lik1gu1lik1gu1係火星話來𡃉.	六十番.					
152	aa84br-492a4e488037a10b5ff9	capped_internal_verb_by_base_host;event	internally_repeated_token	睇	睇睇	v	VERB	tai2tai2				False						FC-R007_v2.cha	27	XXB	喂,埋來睇睇.	實𠸏.	噉樣𠸏?					
153	aa84br-56adeb32f815707a4137	all_manner_property_anchors	internally_repeated_token	慢	慢慢	a	ADJ	maan6maan2				True	1	食	v	VERB	sik6	FC-R007_v2.cha	42	XXA	即係當-譬如嗰塊牛柳喇,吓,即係噉一切,你切到過-一路慢慢食.	溫度好.	以我嘅速度喎.					
154	aa84br-24161e77d5b70957c523	all_manner_property_anchors;capped_internal_adj_by_base_host	internally_repeated_token	潺	潺潺	z	ADJ	saan4saan4				False						FC-R007_v2.cha	196	XXB	即係成口潺潺地噉樣.	同埋我好唔鍾意呢,食牛呢,係散𡃉.	即係我硬係覺得我係頂唔順.					
