id	item_type	source_traditional	source_jyutping	duplicate_status	terminal_classification	evidence_use	role_specific_coverage_state	implementation_crosswalk_targets	pronunciation_owner_paths	homographic_owner_paths	parser_hint_count	controlled_specification_candidate_ids	research_claim_ids	research_route_ids	research_non_candidate_route_ids	discrepancy_status	reviewed_jyutping	review_note	accepted_duplicate_targets
GLOSSIKA-YUEHK-A1-W19-20260726-I060	lexical_entry	八十億	baat3 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I061	lexical_entry	九十億	gau2 sap6 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I062	lexical_entry	一百億	jat1 baak3 jik1	no_accepted_duplicate	lexical_only_attestation	lexical_or_grammar_form_attestation_only_with_role_sensitive_coverage_recorded	compositional_numeral_no_opaque_owner_required				0		W19-C15		W19-N01	no_opaque_ingress		The numeral form is retained as a lexical-form attestation under compositional numeral analysis; no opaque whole-form entry or status change is authorized.	
GLOSSIKA-YUEHK-A1-W19-20260726-I063	sentence	我要兩杯茶。	ngo5 jiu3 loeng5 bui1 caa4.	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C05					The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I064	sentence	呢間鋪頭好大。	ni1 gaan1 pou3 tau2 hou2 daai6.	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21							The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I065	sentence	佢食緊飯。	keoi5 sik6 gan2 faan6.	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C07					The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I066	sentence	你去過日本未？	nei5 heoi3 gwo3 jat6 bun2 mei6?	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C08	W19-F06		route_to_issue_129		The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I067	dialog_turn	你要幾多杯咖啡？	nei5 jiu3 gei2 do1 bui1 gaa3 fe1?	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C04;W19-C05	W19-F04				The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I068	dialog_turn	我要一杯。佢呢？	ngo5 jiu3 jat1 bui1. keoi5 ne1?	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C04;W19-C05	W19-F04		route_to_issue_129		The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I069	dialog_turn	佢唔飲咖啡嘅，畀碗湯佢啦。	keoi5 m4 jam2 gaa3 fe1 ge3, bei2 wun2 tong1 keoi5 laa1.	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C10;W19-C11;W19-C12	W19-F08;W19-F09		route_to_issue_129		The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I070	dialog_turn	好，一杯咖啡，一碗湯。	hou2, jat1 bui1 gaa3 fe1, jat1 wun2 tong1.	no_accepted_duplicate	new_corpus_attestation	sentence_or_dialog_attestation_only_with_research_routes_preserved	sentence_attestation_no_role_owner_claim				21		W19-C04;W19-C05	W19-F04		route_to_issue_129		The utterance is retained as a source attestation. Broad parser paths are heuristic only, and its structural or discourse questions remain at the linked Week 19 research boundaries.	
GLOSSIKA-YUEHK-A1-W19-20260726-I071	tone_paradigm_row	T1 ˥		no_accepted_duplicate	new_corpus_attestation	pronunciation_material_attestation_only_pending_item_level_review	pronunciation_material_unverified			src/runtime-resources/lexicon/token-lexicon/places-and-times.js;src/runtime-resources/lexicon/token-lexicon/study-suite.js;src/runtime-resources/lexicon/token-lexicon/verbs.js	0		W19-C16	W19-F12		requires_independent_verification		The complete T1 row is retained as pedagogical pronunciation material only; character, reading, register, and lexical suitability are not independently accepted here.	
GLOSSIKA-YUEHK-A1-W19-20260726-I072	tone_paradigm_row	T2 ˧˥		no_accepted_duplicate	unusable	incomplete_pronunciation_material_preserved_not_usable_as_lexical_evidence	pronunciation_material_unverified			src/runtime-resources/lexicon/token-lexicon/study-suite.js	0		W19-C16	W19-F12		requires_independent_verification;source_incomplete		The tone row is preserved exactly, including the blank saam- cell, but the incomplete row cannot be accepted as a complete pronunciation paradigm.	
GLOSSIKA-YUEHK-A1-W19-20260726-I073	tone_paradigm_row	T3 ˧		no_accepted_duplicate	unusable	incomplete_pronunciation_material_preserved_not_usable_as_lexical_evidence	pronunciation_material_unverified			src/runtime-resources/grammar/templates/slot-generation-rules.js;src/runtime-resources/lexicon/productive-vo.js;src/runtime-resources/lexicon/token-lexicon/verbs.js	0		W19-C16	W19-F12		requires_independent_verification;source_incomplete		The tone row is preserved exactly, including the blank saam- cell, but the incomplete row cannot be accepted as a complete pronunciation paradigm.	
GLOSSIKA-YUEHK-A1-W19-20260726-I074	tone_paradigm_row	T4 ˨˩		no_accepted_duplicate	unusable	incomplete_pronunciation_material_preserved_not_usable_as_lexical_evidence	pronunciation_material_unverified			src/runtime-resources/lexicon/token-lexicon/study-suite.js	0		W19-C16	W19-F12		requires_independent_verification;source_incomplete		The tone row is preserved exactly, including the blank saam- cell, but the incomplete row cannot be accepted as a complete pronunciation paradigm.	
GLOSSIKA-YUEHK-A1-W19-20260726-I075	tone_paradigm_row	T5 ˩˧		no_accepted_duplicate	unusable	incomplete_pronunciation_material_preserved_not_usable_as_lexical_evidence	pronunciation_material_unverified			src/runtime-resources/lexicon/token-lexicon/study-suite.js	0		W19-C16	W19-F12		requires_independent_verification;source_incomplete		The tone row is preserved exactly, including the blank saam- cell, but the incomplete row cannot be accepted as a complete pronunciation paradigm.	
GLOSSIKA-YUEHK-A1-W19-20260726-I076	tone_paradigm_row	T6 ˨		no_accepted_duplicate	unusable	incomplete_pronunciation_material_preserved_not_usable_as_lexical_evidence	pronunciation_material_unverified			src/runtime-resources/lexicon/token-lexicon/places-and-times.js;src/runtime-resources/lexicon/token-lexicon/study-suite.js	0		W19-C16	W19-F12		requires_independent_verification;source_incomplete		The tone row is preserved exactly, including the blank saam- cell, but the incomplete row cannot be accepted as a complete pronunciation paradigm.	
