runtime_label	lane	claim_layer	current_status	runtime_code_reference_count	accepted_tree_occurrence_count	sample_surfaces	canonical_family_id	canonical_family	family_type	consolidation_class	target_action	target_node_or_family	survives_as_public_construction	readiness_bucket	source_linked_disposition	target_boundary
DurativeVP	LANE-05	language	research_pending	11	1	戴住眼鏡。	L09	DurativeContinuativeAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DurativeContinuativeAspect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_AND_LEXICAL_SELECTION_REQUIRED	Split continuing-state, transitive, and accompanying/subordinate V住 profiles and add lexical restrictions before implementation.
EvaluationWithDouSyun	LANE-10	language	unsupported_generalization	8	0		L43	ScalarComparisonAndEvaluation	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ScalarEvaluation lexical subtype	NO	A_SAFE_STRUCTURAL_CLEANUP	COMPONENTS_PARTLY_LINKED_EXACT_DOU1_SYUN3_PRICE_WRAPPER_SOURCE_GAP_MERGE_OR_RETIRE	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ExistentialClause	LANE-10	language	research_pending	14	4	佢有時間。 | 我有一個故事，我睇咗，佢都睇咗。 | 我有書。 | 佢有三歲。	L39	ExistentialAndPresentationalClauses	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialAndPresentationalClauses	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Split overt possessor + 有 + NP, location-domain + 有 + NP, participant-introducing 有 + NP + predicate, and 有 + VP auxiliary profiles before implementation.
ExistentialPresentationalClause	LANE-10	language	research_pending	11	4	冇人喺度。 | 冇學生喺學校。 | 有個人喺門口。 | 有個學生喺學校。	L39	ExistentialAndPresentationalClauses	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialAndPresentationalClauses	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	GENERAL_PRESENTATIONAL_FORM_LINKED_EXACT_LOCATIVE_CODA_GAP	Research exact 有/冇 + NP + 喺-coda order and polarity using natural corpora and construction-specific analysis; do not extrapolate from general 有+NP+predicate presentation.
ExistentialQuestion	LANE-07	language	unsupported_generalization	30	5	有冇？ | 有冇嘢食啊？ | 你有冇吖？ | 你有冇書？ | 呢度有冇人？	L24	ExistentialQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Separate possessive NP, locative existential NP, availability, event/experiential VP, and discourse-elliptical 有冇; preserve suppletive marker status.
ExistentialWhQuestion	LANE-07	language	research_pending	11	5	有咩書？ | 有咩書啦？ | 有咩書啩？ | 有咩書喎？ | 有咩書㗎喇？	L24	ExistentialQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	GENERAL_COMPONENTS_LINKED_EXACT_TEMPLATE_GAP	Find exact 有咩(+NP) examples and analysis; replace co-occurrence fallback with source-backed order and complement boundaries only after authorization.
ExperientialClause	LANE-05	language	unsupported_generalization	8	1	食過飯。	L07	ExperientialAspect	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ExperientialVP	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_TRANSPARENT_CLAUSE_WRAPPER_MERGE_OR_REALIGN_TO_EXPERIENTIAL_VP	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
ExperientialMotionGoalVP	LANE-09	language	unsupported_generalization	9	0		L34	GoalSourceAndPath	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_AND_MOTION_SUBTYPE_REQUIRED	Narrow to independently licensed motion predicates with overt goals; do not generalize from 去過.
ExperientialQuestion	LANE-05	language	unsupported_generalization	11	0		L07	ExperientialAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExperientialAspect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_FINAL_MEI_NARROWING_REQUIRED	Require an interrogative final-未 profile after overt experiential material; separate negative statements.
ExperientialVP	LANE-05	language	provisional	16	3	有冇人做過呢？ | 有冇講過電話啊？ | 食過飯。	L07	ExperientialAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExperientialAspect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_REQUIRED	Retain overt V過 narrowly and research lexical/event compatibility rather than promoting action_verb + 過 productivity.
ExperientialYesNoQuestion	LANE-05	language	unsupported_generalization	12	2	有冇人做過呢？ | 有冇講過電話啊？	L07	ExperientialAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExperientialAspect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SUPPLETIVE_QUESTION_SPLIT_AND_NARROWING_REQUIRED	Keep suppletive 有冇+V過 separate from ordinary A-not-A and prevent duplicate object/topic relations.
FocusParticleFrame	LANE-03	representation	parser_heuristic	17	8	得一個咋。 | 得一個啫。 | 得十蚊咋。 | 得三本書咋。 | 得三個人咋。 | 得少少啫.	I03	ParticleScope	internal_architecture	internal_architecture	RENAME_INTERNAL	ParticleScope	NO	C_STRUCTURAL_REALIGNMENT	RENAME_INTERNAL_RESTRICTIVE_FOCUS_SCOPE_WRAPPER_REQUIRE_OVERT_LICENSED_HOST	Retain as internal scope/coverage structure only; require an overt licensed host and independently mapped restrictive-particle subtype.
FormulaDiscourseUnit	LANE-03	language	lexicalized_only	33	32	可以呀。 | 可以啊。 | 好，好，好，好。 | 好呀。 | 有，有。 | 有有有。	L04	FormulaicDiscourse	lexicalized_family	lexicalized_profile	RETAIN_LEXICALIZED_PROFILE	FormulaicDiscourse	LEXICAL_OR_SUBTYPE_ONLY	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_LEXICAL_AND_RESPONSE_SUBTYPE_SPLIT_REQUIRED	Split individually sourced lexical formulae, response-particle 係, repetition/acknowledgement heuristics, and transparent reaction/acceptance clauses; leave unsourced list members and repetition cross-products lexicalized or quarantined.
FragmentAnswer	LANE-03	language	research_pending	19	8	可以。 | 我覺得啱。 | 要。 | 唔可以。 | 唔使。 | 唔要。	L05	FragmentsAndEllipsis	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_ELLIPSIS_SUBTYPE_SPLIT_AND_POSSESSIVE_REALIGNMENT_REQUIRED	Separate response particles, predicate/aspect repetition, lexeme-specific modal replies, and discourse-linked stance answers; realign possessor+嘅 with headless nominal analysis and preserve context without inserting hidden words.
FragmentQuestion	LANE-03	language	research_pending	20	2	你呢？ | 呢？	L05	FragmentsAndEllipsis	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_THEMATIC_NE_NARROWING_WITH_BARE_FORM_GAP	Retain context-linked thematic topic+呢 narrowly; obtain direct full-source evidence for exact 你呢 and bare 呢 before promotion, and preserve other ne1 question/declarative analyses.
GoalAttainmentMotionVP	LANE-09	language	research_pending	11	2	我行到學校。 | 我返到屋企。	L34	GoalSourceAndPath	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_REQUIRED	Separate main arrival 到, spatial attainment V-到-goal, nonspatial result/extent, and ability-related uses.
HeadNP	LANE-06	representation	parser_heuristic	35	31	一見到佢，我笑。 | 一見到佢，我就笑。 | 人，人，人。 | 大家。 | 正題。 | 如果你去，我就去。	I04	NominalAndMeasureSpan	internal_architecture	internal_architecture	RENAME_INTERNAL	NominalAndMeasureSpan	NO	A_SAFE_STRUCTURAL_CLEANUP	RENAME_INTERNAL_BARE_NOMINAL_SPAN_NO_ARGUMENT_OR_FRAGMENT_LICENSE	Rename to a neutral nominal-span wrapper; do not let it independently license argument status, definiteness, ellipsis, or standalone utterance use.
IdentificationFragment	LANE-03	language	lexicalized_only	13	0		L05	FragmentsAndEllipsis	language_family	quarantined_exact_gap	QUARANTINE_EXACT_GAP	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	E_NOT_IMPLEMENTATION_READY	COMPONENTS_LINKED_EXACT_FRAGMENT_AND_PARTICLE_SLOT_GAP	Split ordinary copular/focus 就係 from particle-bound utterance uses; require direct context for fragment status and do not make the final-particle slot freely optional.
IdentityWhQuestion	LANE-07	language	unsupported_generalization	13	0		L25	TypedWhAndStanceQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TypedWhAndStanceQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	GENERAL_IDENTITY_WH_SOURCE_LINKED_EXACT_BIN1GO3_LAI4_TEMPLATE_GAP_AND_COPULA_SPLIT_REQUIRED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ImpersonalEnvironmentalClause	LANE-10	language	research_pending	26	15	今日好凍。 | 天光喇。 | 出面好熱。 | 打風。 | 因為打風，所以我冇去。 | 因為落雨，我冇去。	L41	EnvironmentalClauses	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	EnvironmentalClauses	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_ENVIRONMENTAL_EVENT_TRANSITION_AMBIENT_SPLIT_AND_SUBJECTLESS_STATUS_NARROWING_REQUIRED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
IntendedFunctionRelation	LANE-01	language	provisional	12	0		L01	CoverbAndParticipantRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_JUNG6LEI4_INSTRUMENT_FUNCTION_RELATION_WITH_INSTRUMENTAL_SVC_POLYSEMY_AND_TOPIC_CONTROL_NARROWING_REQUIRED	Narrow 用嚟 to sourced instrumental/function serial-verb profiles; preserve overt resource/topic structure and split actual-use events, intended function, affordance, and ordinary lexical 用.
IntentionFrame	LANE-08	language	unsupported_generalization	11	0		L30	DesirePreferenceAndIntention	language_family	lexicalized_profile	RETAIN_LEXICALIZED_PROFILE	DesirePreferenceAndIntention	LEXICAL_OR_SUBTYPE_ONLY	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_LEXICALIZED_NAM2ZYU6_INTENTION_WITH_CONTINUATIVE_POLYSEMY_AND_COMPLEMENT_NARROWING_REQUIRED	Narrow to lexicalized 諗住 senses and typed complements; split planning from cognition/assumption and ordinary V住.
IntransitiveVP	LANE-10	language	unsupported_generalization	9	4	一見到佢，我笑。 | 一見到佢，我就笑。 | 如果你覺得佢啱，我就同意。 | 見到佢，我就笑。	L45	ValencyAndArgumentStructure	architecture_family	implementation_umbrella	DECOMPOSE_IMPLEMENTATION_UMBRELLA	ValencyAndArgumentStructure	NO	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_LEXEME_VALENCY_AND_NULL_ARGUMENT_SPLIT_WITH_GENERIC_TEMPLATE_REALIGNMENT_REQUIRED	Replace the generic action_verb-only template with sourced lexeme/use valency and typed omission diagnostics; preserve genuine one-place predicates without fabricating objects.
LocativeExistentialClause	LANE-10	language	research_pending	15	6	屋企冇人。 | 屋企冇書。 | 屋企有本書。 | 屋企有個人。 | 枱上面有支筆。 | 學校有個學生。	L39	ExistentialAndPresentationalClauses	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ExistentialAndPresentationalClauses	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_NARROWING_DORMANT_TEMPLATE_RETIRE	Retire or replace the dormant mismatched template; retain only overt location-domain + 有/冇 + NP as the source-linked target for future authorized remediation.
LocativeFragment	LANE-03	language	unsupported_generalization	12	0		L05	FragmentsAndEllipsis	language_family	quarantined_exact_gap	QUARANTINE_EXACT_GAP	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	E_NOT_IMPLEMENTATION_READY	COMPONENTS_LINKED_STANDALONE_FRAGMENT_ELLIPSIS_GAP	Represent the overt locative phrase compositionally; require discourse context for standalone-answer status and preserve spatial/progressive ambiguity without hidden figures.
LocativeFrameClause	LANE-10	language	research_pending	16	4	出面好熱。 | 屋企好靜。 | 牆上面擺咗部電話。 | 牆上面擺咗部機。	L40	LocativeClauseFrames	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeClauseFrames	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_LOCATIVE_INVERSION_PLACE_PROPERTY_AND_AMBIENT_FRAME_SPLIT_REQUIRED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
LocativeModalPredicateClause	LANE-10	representation	parser_heuristic	12	0		I01	ClauseSpan	internal_architecture	transparent_wrapper	MERGE_INTERNAL_WRAPPER	SubjectPredicateClause	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_LOCATIVE_PREFIX_PLUS_MODAL_VP_RETIRE_COMBINED_WRAPPER	Merge into generic clause composition with a locative modifier and visible ModalVP; retire the combined label.
LocativePlacePhrase	LANE-09	language	unsupported_generalization	23	15	冇人喺度。 | 冇學生喺學校。 | 有個人喺門口。 | 有個學生喺學校。 | 你嚟嘅時候，我喺屋企。 | 佢喺屋企。	L36	LocativeAndPosturalPredication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeAndPosturalPredication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	PARTIAL_SOURCE_LINK_SPLIT_REQUIRED	Use the R4 source matrix to split or narrow supported subtypes; keep unmapped subtypes quarantined.
LocativePostureVP	LANE-09	language	unsupported_generalization	12	0		L36	LocativeAndPosturalPredication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeAndPosturalPredication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	POSTURAL_LOCATIVE_STRATEGY_LINKED_EXACT_HAI2DOU6_CROSSPRODUCT_AND_PROGRESSIVE_BOUNDARY_GAP	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
LocativeWhQuestion	LANE-07	language	unsupported_generalization	14	6	去咗邊度呀？ | 你去咗邊度？ | 你尋日去咗邊度呀？ | 喺邊度呀？ | 講返正題，你尋日去咗邊度呀？ | 邊度呀？	L25	TypedWhAndStanceQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TypedWhAndStanceQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_WH_PLACE_SUBTYPE_SPLIT_AND_LOCATIVE_MARKER_BOUNDARY_REQUIRED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
MalformedCandidate	LANE-10	heuristic	parser_heuristic	20	15	行去入。 | 佢喺一。 | 我有冇食飯。 | 我行學校去。 | 我到返屋企。 | 我返屋企到。	I08	ParserDiagnosticDisposition	diagnostic_only	diagnostic_only	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	NO	A_SAFE_STRUCTURAL_CLEANUP	NARROW_HEURISTIC_TO_EXPLICIT_PARSER_CONFLICT_CODES_NOT_UNGRAMMATICALITY	Retain only with enumerated conflict codes and neutral wording; never equate MalformedCandidate with ungrammatical Cantonese.
MannerAdverbialVP	LANE-09	language	unsupported_generalization	11	0		L37	MannerAndReduplication	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	MannerAndReduplication	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_REDUPLICATED_MANNER_WITH_GAM2_VISIBLE_AND_BARE_FORM_GAP	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
MeasureExpression	LANE-10	representation	parser_heuristic	11	12	佢十歲。 | 我五歲。 | 個學生十歲。 | 呢個學生十歲。 | 本書三十蚊。 | 呢本書一百蚊。	I04	NominalAndMeasureSpan	internal_architecture	internal_architecture	RETAIN_INTERNAL	NominalAndMeasureSpan	NO	A_SAFE_STRUCTURAL_CLEANUP	KEEP_INTERNAL_OVERT_MEASURE_SPAN_NO_INDEPENDENT_PREDICATION	Keep as an overt span container; inherit age, price, area, and length licensing from mapped nominal-predication subtypes.
ModalANotAQuestion	LANE-07	language	research_pending	29	2	你使唔使去？ | 會唔會落雨？	L23	ANotAQuestions	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ANotAQuestions	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_AND_SUBTYPE_SPLIT_REQUIRED	Keep only independently sourced lexical modal subtypes; distinguish exact-copy 想唔想 from reduced/fused 可唔可以 and research other listed modals separately.
ModalChangeIntoResultFrame	LANE-05	language	unsupported_generalization	10	0		L15	ResultativeAndChangePredication	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	ordinary modal/change composition	NO	A_SAFE_STRUCTURAL_CLEANUP	COMPONENTS_SOURCE_LINKED_TRANSPARENT_MODAL_PLUS_CHANGE_PREDICATE_WRAPPER_MERGE_OR_RETIRE	Merge/retire as transparent modal + lexical change-predicate composition unless independent wrapper behavior is found.
ModalResponseFragment	LANE-03	language	unsupported_generalization	7	0		L05	FragmentsAndEllipsis	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	FragmentsAndEllipsis	NO	A_SAFE_STRUCTURAL_CLEANUP	SELECTIVE_AUXILIARY_ELLIPSIS_LINKED_DORMANT_LABEL_MERGE_OR_RETIRE	Merge into lexical ModalVP/Auxiliary structure plus selectively licensed complement ellipsis and a separate response relation; retire the dormant duplicate.
ModalVP	LANE-07	language	provisional	35	15	你要唔要？ | 佢要飲水。 | 佢會返嚟啩。 | 佢會嚟喎？ | 佢會嚟喎。 | 我可以去。	L29	Modality	language_family	implementation_umbrella	DECOMPOSE_IMPLEMENTATION_UMBRELLA	Modality	NO	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_SPLIT_AND_LEXICAL_SCOPE_NARROWING_REQUIRED	Split lexical auxiliary subtypes, suppletive negative/question forms, clause wrappers, and modal scope over independently licensed VP chains; remove broad modal × VP-family inference before implementation.
ModifiedNP	LANE-06	language	provisional	34	40	下年哩個時間咪過囖。 | 有咩書？ | 有咩書啦？ | 有咩書啩？ | 有咩書喎？ | 有咩書㗎喇？	L19	NominalModificationAndRelatives	language_family	implementation_umbrella	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NominalModificationAndRelatives	NO	D_ARCHITECTURE_RECONSTRUCTION	SOURCE_LINKED_UMBRELLA_SPLIT_REQUIRED	Split bare, ge3-marked, wh-determiner, demonstrative/classifier, and relative/verbal modifier branches before implementation; keep ModifiedNP internal only.
ModifierNP	LANE-06	language	provisional	9	2	我最近好大壓力。 | 係呀，我最近好大壓力。	L19	NominalModificationAndRelatives	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NominalModificationAndRelatives	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NARROWING_REQUIRED	Narrow to externally supported bare-modifier classes and preserve the interpretation difference from ge3-marked modification.
ModifierPhrase	LANE-06	representation	parser_heuristic	7	0		I04	NominalAndMeasureSpan	internal_architecture	transparent_wrapper	MERGE_INTERNAL_WRAPPER	ModifiedNP	NO	A_SAFE_STRUCTURAL_CLEANUP	MERGE_MODIFIER_SPAN_INTO_MODIFIED_NP_RETIRE_PUBLIC_LABEL	Merge the child span into a canonical ModifiedNP/relative-modifier analysis and retire the public construction label.
MotionDelimitedVP	LANE-09	language	unsupported_generalization	9	0		L35	PurposeSerialRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PurposeSerialRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_PURPOSE_SVC_WITH_DELIMITATIVE_SECOND_PREDICATE_BUT_EXACT_MOVEMENT_ACTION_HAA5_TEMPLATE_AND_RELATION_SPLIT_REQUIRED	Decompose into a sourced purpose serial-verb relation plus an independently delimited second predicate; do not license a movement×action×吓 cross-product.
MotionGoalVP	LANE-09	language	unsupported_generalization	28	41	去咗香港。 | 去香港 | 你去咗香港。 | 你尋日去咗香港。 | 你尋日去咗香港未？ | 你尋日去香港。	L34	GoalSourceAndPath	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_PROVISIONAL	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
MotionPurposeChain	LANE-09	language	unsupported_generalization	26	1	我去餐廳食晏。	L35	PurposeSerialRelations	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PurposeSerialRelations	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_REVIEW_BOUNDARY	Use the cumulative R4 source matrix; retain SOURCE_LINKED_REVIEW_BOUNDARY until behavior review.
NamingClause	LANE-10	language	unsupported_generalization	12	0		L38	NamingAndAddress	lexicalized_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NamingAndAddress	CONDITIONAL_AFTER_REMEDIATION	B_EVIDENCE_BACKED_NARROWING	PERSONAL_NAMING_RELATION_SOURCE_LINKED_GIU1_VERSUS_GIU3ZOU6_SPLIT_AND_EXACT_TEMPLATE_GAP	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
NeedsContext	LANE-10	heuristic	parser_heuristic	39	73	一日。 | 一日啊。 | 一年。 | 一個月。 | 三年。 | 三個月。	I08	ParserDiagnosticDisposition	diagnostic_only	diagnostic_only	DIAGNOSTIC_ONLY	ParserDiagnosticDisposition	NO	A_SAFE_STRUCTURAL_CLEANUP	NARROW_HEURISTIC_TO_ENUMERATED_MISSING_CONTEXT_ARGUMENT_OR_ANALYSIS_CAUSES	Retain as a disposition only; require explicit reason codes, missing slots, antecedent status, and candidate analyses. Never treat it as a linguistic construction.
NegatedDirectionalMotionVP	LANE-09	language	provisional	12	10	因為打風，所以我冇去。 | 因為落雨，我冇去。 | 因為落雨，所以我冇去。 | 但係佢唔嚟。 | 佢唔嚟。 | 佢話如果落雨，佢就唔去。	L26	Negation	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	Negation + DirectionalMotionVP	NO	A_SAFE_STRUCTURAL_CLEANUP	LANGUAGE_CLAIM_RETIRE_KEEP_INTERNAL_COMPOSITION	Treat ordinary directional negation as general VP negation and keep postverbal potential V-唔-directional as a separate construction.
NegatedExistentialClause	LANE-07	language	unsupported_generalization	14	2	冇書。 | 我冇書。	L26	Negation	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Negation	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_SPLIT_REQUIRED	Split negative possession, locative nonexistence, and 冇 + VP event/perfective negation; preserve visible 冇 and do not insert hidden 有.
NegatedExistentialFragment	LANE-03	language	provisional	14	11	冇，冇。 | 冇。 | 冇呀。 | 冇啊。 | 冇啫。 | 冇喇。	L05	FragmentsAndEllipsis	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_CONTEXT_ELLIPSIS_REQUIRED	Retain context-required status; independently validate subject, focus, repetition, and particle extensions before promotion.
NegatedLexicalizedStative	LANE-07	language	unsupported_generalization	17	0		L26	Negation	language_family	lexicalized_profile	RETAIN_LEXICALIZED_PROFILE	Negation	LEXICAL_OR_SUBTYPE_ONLY	B_EVIDENCE_BACKED_NARROWING	SOURCE_LINKED_SPLIT_AND_LABEL_RETIRE_REQUIRED	Retire the homogeneous language label in a future authorized implementation; split lexical 難食, compositional 唔+好食, and prohibitive 唔好+食 while preserving ambiguity.
NegatedStativePredicate	LANE-07	language	unsupported_generalization	14	0		L26	Negation	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Negation	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NEGATOR_NARROWING_REQUIRED	Narrow the sourced construction to 唔 + independently licensed property predicate; map 冇, 未, 咪, and other negative profiles separately.
NegatedVP	LANE-07	language	unsupported_generalization	14	1	唔做完。	L26	Negation	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Negation	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_PREVERBAL_M4_NEGATION_WITH_VP_SELECTION_SCOPE_AND_COMPLETION_CONFLICT_NARROWING_REQUIRED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
NegativeCognitionFragment	LANE-03	language	research_pending	11	1	唔知呀。	L05	FragmentsAndEllipsis	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	FragmentsAndEllipsis	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_POLYFUNCTIONALITY_AND_CONTEXT_SPLIT_REQUIRED	Split lexical negative cognition, overt-content sequences, stance markers, and standalone answer fragments; preserve context requirement and overt particles.
NegativeExperiential	LANE-05	language	unsupported_generalization	8	0		L07	ExperientialAspect	language_family	split_required	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExperientialAspect	CONDITIONAL_AFTER_REMEDIATION	C_STRUCTURAL_REALIGNMENT	SOURCE_LINKED_NEGATION_TYPE_SPLIT_MOU5_V_GWO3_VERSUS_MEI6_V_GWO3_AND_TEMPLATE_REALIGNMENT_REQUIRED	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
NegativeHaveClause	LANE-07	language	unsupported_generalization	6	0		L26	Negation	language_family	transparent_wrapper	MERGE_TRANSPARENT_COMPOSITION	negated possession/existence/event subtype	NO	A_SAFE_STRUCTURAL_CLEANUP	SOURCE_LINKED_NEGATIVE_POSSESSION_EXISTENCE_EVENT_SPLIT_DORMANT_DUPLICATE_MERGE_OR_RETIRE	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
