runtime_label	canonical_family_id	canonical_family	target_action	target_node_or_family	accepted_tree_occurrence_count	runtime_code_reference_count	assigned_work_package	evaluation_packet_id	implementation_status	intended_semantic_change	compatibility_alias_required	held_out_state	source_boundary
RestorativeComplementVP	L14	Faan1ComplementProfiles	RETAIN_LEXICALIZED_PROFILE	Faan1ComplementProfiles	1	10	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L14	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
AcceptabilityClause	L27	AcceptabilityAndFreeChoice	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AcceptabilityAndFreeChoice	0	17	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L27	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
CopularANotAQuestion	L23	ANotAQuestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ANotAQuestions	0	12	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L23	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve overt 係唔係 while distinguishing nominal and clausal complements; record the syntactic analysis as contested and keep tokenization decisions internal.
IdentityWhQuestion	L25	TypedWhAndStanceQuestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TypedWhAndStanceQuestions	0	13	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L25	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
NamingClause	L38	NamingAndAddress	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NamingAndAddress	0	12	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L38	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
NegatedLexicalizedStative	L26	Negation	RETAIN_LEXICALIZED_PROFILE	Negation	0	17	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L26	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Retire the homogeneous language label in a future authorized implementation; split lexical 難食, compositional 唔+好食, and prohibitive 唔好+食 while preserving ambiguity.
NegatedStativePredicate	L26	Negation	RETAIN_OR_SPLIT_NARROW_SUBTYPE	Negation	0	14	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L26	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Narrow the sourced construction to 唔 + independently licensed property predicate; map 冇, 未, 咪, and other negative profiles separately.
OpinionQuestion	L25	TypedWhAndStanceQuestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TypedWhAndStanceQuestions	0	8	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L25	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
PoliteImperativeClause	L28	DirectivesRequestsAndSuggestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectivesRequestsAndSuggestions	0	12	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L28	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Decompose the unsourced path-specific wrapper into marker-specific request force plus ordinary addressee/time/path/predicate structure.
ScalarRangeFragment	L43	ScalarComparisonAndEvaluation	RETAIN_LEXICALIZED_PROFILE	ScalarComparisonAndEvaluation	0	15	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L43	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ScalarValueQuestion	L25	TypedWhAndStanceQuestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TypedWhAndStanceQuestions	0	20	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L25	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
SuggestionQuestion	L28	DirectivesRequestsAndSuggestions	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectivesRequestsAndSuggestions	0	11	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L28	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Realign as marker-specific suggestion force over an overt proposal clause/VP; do not infer interrogative syntax from translation or final particle.
VocativeAddressTerm	L38	NamingAndAddress	RETAIN_LEXICALIZED_PROFILE	NamingAndAddress	0	16	CP022-I2A_PARTICLE_QUESTION_NEGATION_NARROWING	EP-R36-L38	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
DemonstrativeClassifierNP	L17	DemonstrativeNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DemonstrativeNP	32	25	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L17	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep overt-head D-(X)-C-N and headless D-C-Ø distinct; record variation over overt one and prohibit hidden numeral insertion.
QuantifiedClassifierNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	24	37	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep overt-head X-C-N and context-dependent X-C-Ø distinct in any future design; preserve overt classifier and never fabricate the missing noun.
QuantifiedTimeNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	13	19	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split duration, distributive/frequency, conventional 個字 measure, and fragment profiles; remove generic classifier/particle assumptions before implementation.
NominalPredicateClause	L44	TemporalAndMeasurePredication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TemporalAndMeasurePredication	12	10	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L44	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
DiMarkedNP	L21	OrdinalNominals	RETAIN_OR_SPLIT_NARROW_SUBTYPE	OrdinalNominals	5	20	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L21	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Relabel theory-neutrally as an overt di1-marked nominal expression; preserve plural interpretation while keeping gloss and clause role context-dependent.
ApproximateQuantity	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	3	17	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ReduplicatedVP	L37	MannerAndReduplication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	MannerAndReduplication	3	12	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L37	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
RelativeClauseNP	L19	NominalModificationAndRelatives	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NominalModificationAndRelatives	3	13	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L19	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split classifier and ge3 relatives and separate overt construction recognition from disputed gap/internal-head analysis.
WhClassifierQuestion	L22	WhNominals	RETAIN_OR_SPLIT_NARROW_SUBTYPE	WhNominals	3	10	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L22	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ClassifierObjectNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	2	15	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Realign to a role-neutral classifier+noun representation; assign object/topic/subject roles at the containing frame.
ModifierNP	L19	NominalModificationAndRelatives	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NominalModificationAndRelatives	2	9	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L19	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Narrow to externally supported bare-modifier classes and preserve the interpretation difference from ge3-marked modification.
QuantifiedPersonNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	1	16	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
StativeNominalComplement	L19	NominalModificationAndRelatives	RETAIN_OR_SPLIT_NARROW_SUBTYPE	NominalModificationAndRelatives	1	16	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L19	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split headless modifier-ge3 nominal use from headed modified NP and sentence-final ge3; insert no hidden noun.
TimeNP	L44	TemporalAndMeasurePredication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	TemporalAndMeasurePredication	1	17	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L44	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split lexical/deictic time forms by head-specific classifier behavior and keep nominal form separate from clause-level temporal role before any implementation.
AssociativeNP	L18	AssociativeAndCoordinatedNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AssociativeAndCoordinatedNP	0	10	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L18	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split possessor/associative, relative, aboutness, and nominal-complement relations; do not infer one relation from 嘅.
BareClassifierNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	0	6	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep dormant; retire or redefine as a role-neutral alias for C-N, not classifier-alone ellipsis.
CoordinatedNP	L18	AssociativeAndCoordinatedNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	AssociativeAndCoordinatedNP	0	15	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L18	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split overt 同, 同埋, and juxtaposition profiles; distinguish coordination from comitative/coverb 同 and assign clause role outside the NP.
DegreeMannerModifiedVP	L37	MannerAndReduplication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	MannerAndReduplication	0	8	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L37	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
DemonstrativeQuantifiedClassifierNP	L16	ClassifierAndQuantityNP	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ClassifierAndQuantityNP	0	6	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L16	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep dormant and narrow to overt D+Num+CL+N only if a separate node remains useful after design review.
MannerAdverbialVP	L37	MannerAndReduplication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	MannerAndReduplication	0	11	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L37	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
OrdinalClassifierNP	L21	OrdinalNominals	RETAIN_OR_SPLIT_NARROW_SUBTYPE	OrdinalNominals	0	19	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L21	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split headed and noun-elliptical 第 ordinals and distinguish true ordinal use from lexicalized 第二 meaning next/another/other.
PossessiveClassifierNP	L20	PossessiveNominals	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PossessiveNominals	0	10	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L20	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Narrow to possessor+overt-classifier+noun or independently licensed ellipsis; remove result-frame ownership from the nominal construction in future design.
ScalarEvaluation	L43	ScalarComparisonAndEvaluation	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ScalarComparisonAndEvaluation	0	19	CP022-I2B_NOMINAL_MEASURE_AND_SCALAR_BOUNDARIES	EP-R36-L43	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
DirectionalMotionVP	L33	DirectionalMotion	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	78	43	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L33	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the R4 matrix to split independent path predicates, manner-directional sequences, postverbal directionals, and caused-motion subspans before any implementation design.
MotionGoalVP	L34	GoalSourceAndPath	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	41	28	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L34	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
ImpersonalEnvironmentalClause	L41	EnvironmentalClauses	RETAIN_OR_SPLIT_NARROW_SUBTYPE	EnvironmentalClauses	15	26	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L41	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
LocativePlacePhrase	L36	LocativeAndPosturalPredication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeAndPosturalPredication	15	23	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L36	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the R4 source matrix to split or narrow supported subtypes; keep unmapped subtypes quarantined.
DirectedMannerMotionVP	L33	DirectionalMotion	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	6	20	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L33	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Keep postverbal manner-direction profiles separate from preverbal 向 phrases and caused-motion participant mappings.
SerialVerbPurposeChain	L35	PurposeSerialRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PurposeSerialRelations	5	30	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L35	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split overt purposive-linker, motion-purpose, unmarked serial, and longer-chain profiles; require semantic/contextual licensing and preserve 嚟/去 asymmetry before implementation.
ExistentialClause	L39	ExistentialAndPresentationalClauses	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialAndPresentationalClauses	4	14	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L39	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Split overt possessor + 有 + NP, location-domain + 有 + NP, participant-introducing 有 + NP + predicate, and 有 + VP auxiliary profiles before implementation.
ExistentialPresentationalClause	L39	ExistentialAndPresentationalClauses	RETAIN_OR_SPLIT_NARROW_SUBTYPE	ExistentialAndPresentationalClauses	4	11	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L39	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Research exact 有/冇 + NP + 喺-coda order and polarity using natural corpora and construction-specific analysis; do not extrapolate from general 有+NP+predicate presentation.
LexicalGiveRelation	L01	CoverbAndParticipantRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	4	18	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L01	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
LocativeFrameClause	L40	LocativeClauseFrames	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeClauseFrames	4	16	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L40	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
SourceMotionClause	L34	GoalSourceAndPath	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	4	14	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L34	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
GoalAttainmentMotionVP	L34	GoalSourceAndPath	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	2	11	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L34	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Separate main arrival 到, spatial attainment V-到-goal, nonspatial result/extent, and ability-related uses.
MotionPurposeChain	L35	PurposeSerialRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PurposeSerialRelations	1	26	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L35	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_REVIEW_BOUNDARY until behavior review.
PathPhrase	L34	GoalSourceAndPath	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	1	14	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L34	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the R4 source matrix to split or narrow supported subtypes; keep unmapped subtypes quarantined.
CompoundDirectionalMotionVP	L33	DirectionalMotion	RETAIN_OR_SPLIT_NARROW_SUBTYPE	DirectionalMotion	0	15	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L33	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Reconcile the inconsistent runtime spans for 返上嚟 and 行返過嚟; preserve ordering and object-placement restrictions.
ExperientialMotionGoalVP	L34	GoalSourceAndPath	RETAIN_OR_SPLIT_NARROW_SUBTYPE	GoalSourceAndPath	0	9	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L34	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Narrow to independently licensed motion predicates with overt goals; do not generalize from 去過.
IntendedFunctionRelation	L01	CoverbAndParticipantRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	0	12	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L01	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Narrow 用嚟 to sourced instrumental/function serial-verb profiles; preserve overt resource/topic structure and split actual-use events, intended function, affordance, and ordinary lexical 用.
LocativePostureVP	L36	LocativeAndPosturalPredication	RETAIN_OR_SPLIT_NARROW_SUBTYPE	LocativeAndPosturalPredication	0	12	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L36	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
MotionDelimitedVP	L35	PurposeSerialRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	PurposeSerialRelations	0	9	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L35	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Decompose into a sourced purpose serial-verb relation plus an independently delimited second predicate; do not license a movement×action×吓 cross-product.
PassivePermissiveRelation	L01	CoverbAndParticipantRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	0	11	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L01	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_RECONSTRUCTED_PROVISIONAL until behavior review.
PostThemeParticipantRelation	L01	CoverbAndParticipantRelations	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CoverbAndParticipantRelations	0	15	CP022-I3_LOCATIVE_MOTION_SERIAL_RELATIONS	EP-R36-L01	NOT_AUTHORIZED	NARROW_OR_REALIGN_ONLY_AS_PACKET_SPECIFIES	CASE_BY_CASE	NOT_SELECTED_NOT_OPENED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL_THEORY_NEUTRAL until behavior review.
