runtime_label	lane	primary_claim_type	current_status	canonical_family_id	canonical_family	family_type	target_action	survives_as_public_construction	required_endpoint	target_boundary
LocativePlacePhrase	LANE-09	cantonese_language_claim	unsupported_generalization	L36	LocativeAndPosturalPredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the R4 source matrix to split or narrow supported subtypes; keep unmapped subtypes quarantined.
LocativePostureVP	LANE-09	cantonese_language_claim	unsupported_generalization	L36	LocativeAndPosturalPredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; use the R22 source map to split environmental events, lexical transitions, ambient properties, locative inversion, place properties, posture locatives, and spatial/progressive 喺度 before implementation.
LocativeWhQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
MalformedCandidate	LANE-10	parser_heuristic	parser_heuristic	I08	ParserDiagnosticDisposition	diagnostic_only	DIAGNOSTIC_ONLY	NO	INTERNAL_ONLY_NON_LICENSING	Retain only with enumerated conflict codes and neutral wording; never equate MalformedCandidate with ungrammatical Cantonese.
MannerAdverbialVP	LANE-09	cantonese_language_claim	unsupported_generalization	L37	MannerAndReduplication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; apply R23 marker, relation, position, scope, overt-噉, and transparent-wrapper boundaries before any implementation.
MeasureExpression	LANE-10	parser_representation_decision	parser_heuristic	I04	NominalAndMeasureSpan	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Keep as an overt span container; inherit age, price, area, and length licensing from mapped nominal-predication subtypes.
ModalANotAQuestion	LANE-07	cantonese_language_claim	research_pending	L23	ANotAQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep only independently sourced lexical modal subtypes; distinguish exact-copy 想唔想 from reduced/fused 可唔可以 and research other listed modals separately.
ModalChangeIntoResultFrame	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge/retire as transparent modal + lexical change-predicate composition unless independent wrapper behavior is found.
ModalResponseFragment	LANE-03	cantonese_language_claim	unsupported_generalization	L05	FragmentsAndEllipsis	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge into lexical ModalVP/Auxiliary structure plus selectively licensed complement ellipsis and a separate response relation; retire the dormant duplicate.
ModalVP	LANE-07	cantonese_language_claim	provisional	L29	Modality	language_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Split lexical auxiliary subtypes, suppletive negative/question forms, clause wrappers, and modal scope over independently licensed VP chains; remove broad modal × VP-family inference before implementation.
ModifiedNP	LANE-06	cantonese_language_claim	provisional	L19	NominalModificationAndRelatives	language_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Split bare, ge3-marked, wh-determiner, demonstrative/classifier, and relative/verbal modifier branches before implementation; keep ModifiedNP internal only.
ModifierNP	LANE-06	cantonese_language_claim	provisional	L19	NominalModificationAndRelatives	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow to externally supported bare-modifier classes and preserve the interpretation difference from ge3-marked modification.
MotionDelimitedVP	LANE-09	cantonese_language_claim	unsupported_generalization	L35	PurposeSerialRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Decompose into a sourced purpose serial-verb relation plus an independently delimited second predicate; do not license a movement×action×吓 cross-product.
MotionGoalVP	LANE-09	cantonese_language_claim	unsupported_generalization	L34	GoalSourceAndPath	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL until behavior review.
MotionPurposeChain	LANE-09	cantonese_language_claim	unsupported_generalization	L35	PurposeSerialRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_REVIEW_BOUNDARY until behavior review.
NamingClause	LANE-10	cantonese_language_claim	unsupported_generalization	L38	NamingAndAddress	lexicalized_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	SUPPORTED_BOUNDED_LEXICALIZED	Preserve the R20 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
NeedsContext	LANE-10	parser_heuristic	parser_heuristic	I08	ParserDiagnosticDisposition	diagnostic_only	DIAGNOSTIC_ONLY	NO	INTERNAL_ONLY_NON_LICENSING	Retain as a disposition only; require explicit reason codes, missing slots, antecedent status, and candidate analyses. Never treat it as a linguistic construction.
NegatedDirectionalMotionVP	LANE-09	cantonese_language_claim	provisional	L26	Negation	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Treat ordinary directional negation as general VP negation and keep postverbal potential V-唔-directional as a separate construction.
NegatedExistentialClause	LANE-07	cantonese_language_claim	unsupported_generalization	L26	Negation	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split negative possession, locative nonexistence, and 冇 + VP event/perfective negation; preserve visible 冇 and do not insert hidden 有.
NegatedExistentialFragment	LANE-03	cantonese_language_claim	provisional	L05	FragmentsAndEllipsis	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain context-required status; independently validate subject, focus, repetition, and particle extensions before promotion.
NegatedLexicalizedStative	LANE-07	cantonese_language_claim	unsupported_generalization	L26	Negation	language_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retire the homogeneous language label in a future authorized implementation; split lexical 難食, compositional 唔+好食, and prohibitive 唔好+食 while preserving ambiguity.
NegatedStativePredicate	LANE-07	cantonese_language_claim	unsupported_generalization	L26	Negation	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow the sourced construction to 唔 + independently licensed property predicate; map 冇, 未, 咪, and other negative profiles separately.
NegatedVP	LANE-07	cantonese_language_claim	unsupported_generalization	L26	Negation	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
NegativeCognitionFragment	LANE-03	cantonese_language_claim	research_pending	L05	FragmentsAndEllipsis	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split lexical negative cognition, overt-content sequences, stance markers, and standalone answer fragments; preserve context requirement and overt particles.
NegativeExperiential	LANE-05	cantonese_language_claim	unsupported_generalization	L07	ExperientialAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
NegativeHaveClause	LANE-07	cantonese_language_claim	unsupported_generalization	L26	Negation	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
NegativePotentialComplement	LANE-05	cantonese_language_claim	unsupported_generalization	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain overt V-唔-R; split result heads, constrain objects, and keep potential polarity separate from ordinary negation.
NegativePotentialDirectionalVP	LANE-05	cantonese_language_claim	unsupported_generalization	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Validate negative directional combinations and object boundaries while preserving overt V-唔-R polarity.
NominalHeadSpan	LANE-06	parser_representation_decision	parser_heuristic	I04	NominalAndMeasureSpan	internal_architecture	RETAIN_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Transparent overt nominal-head span; never licenses language.
NominalModifierNP	LANE-06	cantonese_language_claim	unsupported_generalization	L19	NominalModificationAndRelatives	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge or retire the dormant duplicate; preserve bare, 嘅-marked, classifier-linked, relative, and nominal-complement subtypes in their existing sourced nodes.
NominalPredicateClause	LANE-10	cantonese_language_claim	research_pending	L44	TemporalAndMeasurePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
OpinionQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
OpinionStanceFrame	LANE-08	cantonese_language_claim	unsupported_generalization	L31	CognitionAndStance	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split lexeme-specific matrix complement frames from clause-initial, parenthetical, and right-peripheral stance uses; quarantine generic focus and complement-ellipsis shortcuts.
OrdinalClassifierNP	LANE-06	cantonese_language_claim	unsupported_generalization	L21	OrdinalNominals	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split headed and noun-elliptical 第 ordinals and distinguish true ordinal use from lexicalized 第二 meaning next/another/other.
PassivePermissiveRelation	LANE-01	cantonese_language_claim	provisional	L01	CoverbAndParticipantRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the cumulative R4 source matrix; retain SOURCE_RECONSTRUCTED_PROVISIONAL until behavior review.
PathPhrase	LANE-09	cantonese_language_claim	unsupported_generalization	L34	GoalSourceAndPath	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the R4 source matrix to split or narrow supported subtypes; keep unmapped subtypes quarantined.
PerfectiveDirectionalVP	LANE-05	cantonese_language_claim	unsupported_generalization	L13	AspectDirectionalComposition	compositional_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Preserve frozen behavior; apply R24 directional-aspect composition, wrapper transparency, negator-type, not-yet, and question/statement boundaries before implementation.
PerfectiveObjectResultPredicate	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Research 停咗雨 valency and regional distribution; realign from object-result terminology to weather cessation if evidence supports it.
PerfectiveResultPredicate	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge/retire controlled 解決咗 wrapper in favor of lexical predicate + perfective aspect, subject to regression review.
PerfectiveVP	LANE-05	cantonese_language_claim	provisional	L06	PerfectiveAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve overt simple V-咗-O and V完咗O evidence, but split simple overt-object, overtly objectless, perfective-over-inner-result, placement, and motion-goal profiles before any implementation; never fabricate omitted arguments.
PolarQuestionFrame	LANE-07	parser_representation_decision	parser_heuristic	I03	ParticleScope	internal_architecture	RENAME_INTERNAL	NO	INTERNAL_ONLY_NON_LICENSING	Retain only as an internal question-scope wrapper; each final-particle profile must inherit mapped language evidence and competing-analysis notes.
PoliteImperativeClause	LANE-10	cantonese_language_claim	unsupported_generalization	L28	DirectivesRequestsAndSuggestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Decompose the unsourced path-specific wrapper into marker-specific request force plus ordinary addressee/time/path/predicate structure.
PossessiveClassifierNP	LANE-06	cantonese_language_claim	unsupported_generalization	L20	PossessiveNominals	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Narrow to possessor+overt-classifier+noun or independently licensed ellipsis; remove result-frame ownership from the nominal construction in future design.
PossessiveNP	LANE-06	cantonese_language_claim	unsupported_generalization	L20	PossessiveNominals	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge or retire the dormant umbrella; preserve possessor+嘅, possessor+classifier, and headless possessive subtypes without inserting a silent noun.
PossessiveNominalFragment	LANE-03	cantonese_language_claim	unsupported_generalization	L05	FragmentsAndEllipsis	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge into headless modifier-嘅 nominal and nominal-predicate structures or retire the dormant duplicate.
PossessiveTransferClause	LANE-06	cantonese_language_claim	unsupported_generalization	L20	PossessiveNominals	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Decompose into independently parsed possession, modal, transfer, object, and recipient material; quarantine the exact combined seven-slot template pending direct evidence.
PostThemeParticipantRelation	LANE-01	cantonese_language_claim	provisional	L01	CoverbAndParticipantRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Use the cumulative R4 source matrix; retain SOURCE_LINKED_PROVISIONAL_THEORY_NEUTRAL until behavior review.
PostposedExistentialQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L24	ExistentialQuestions	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Quarantine pending direct corpus attestation and independent analysis of 有 + NP + 冇; no analogy-based licensing.
PostverbalZoPerfectiveVP	LANE-05	cantonese_language_claim	supported_productive	L06	PerfectiveAspect	language_family	RETAIN_ACCEPTED_NARROW_SUBTYPE	YES	ALREADY_SUPPORTED_PRODUCTIVE	Accepted narrow overt V-咗-object subtype; broad PerfectiveVP remains separate.
PotentialDirectionalVP	LANE-05	cantonese_language_claim	research_pending	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Validate verb/direction/deixis combinations in corpus evidence before any productive or implementation claim.
PotentialResultVP	LANE-05	cantonese_language_claim	research_pending	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Retain only overt V-得-R with licensed result material; research each result head and object-placement profile.
PreferenceVP	LANE-08	cantonese_language_claim	unsupported_generalization	L30	DesirePreferenceAndIntention	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split 鍾意 main-verb NP, clause-like, and auxiliary-like VP uses; retire token-presence fallback and keep word-class analysis neutral.
PriorityMarkerClause	LANE-03	cantonese_language_claim	unsupported_generalization	L03	TemporalAndSequentialRelations	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split ordinary postverbal priority 先, particleized/deferral uses, preparatory V定…先, and unresolved ordering domains.
ProductiveVO	LANE-10	cantonese_language_claim	research_pending	L45	ValencyAndArgumentStructure	architecture_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Retire the language-level productivity claim; retain only transparent internal VO composition after lexeme valency, complement type, omission, and construction-specific licensing are established.
ProgressiveDirectionalVP	LANE-05	cantonese_language_claim	unsupported_generalization	L13	AspectDirectionalComposition	compositional_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Realign around independently licensed motion structure; keep the exact 行緊入/出嚟/去 fallback quarantined.
ProgressivePlaceQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Compose progressive aspect with ordinary locative-wh syntax; merge or retire the special node.
ProgressivePurposeClause	LANE-09	cantonese_language_claim	unsupported_generalization	L35	PurposeSerialRelations	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Quarantine the exact unlinked 喺度+V緊O+VO template; compose progressive aspect with a separately evidenced serial/purpose relation instead.
ProgressiveTransitivePredicate	LANE-05	cantonese_language_claim	unsupported_generalization	L08	ProgressiveAspect	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge or retire the duplicate internal label while preserving V緊O spans and purpose-clause provenance.
ProgressiveVP	LANE-05	cantonese_language_claim	research_pending	L08	ProgressiveAspect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split aspect licensing from argument frame and replace the action_verb heuristic with lexical/event compatibility evidence before implementation.
ProgressiveWhObjectQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Compose progressive aspect with ordinary wh-in-situ object syntax; merge or retire the special node.
ProhibitiveFragment	LANE-03	cantonese_language_claim	unsupported_generalization	L05	FragmentsAndEllipsis	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge into ProhibitiveImperative plus lexical-formula protection or retire the dormant duplicate; preserve 咪/唔好 distinctions.
ProhibitiveImperative	LANE-07	cantonese_language_claim	research_pending	L28	DirectivesRequestsAndSuggestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split 唔好 and 咪 prohibitives, ordinary negation, lexicalized 唔好 expressions, and particle-specific directive force; retain overt marker and predicate.
PurposePredicate	LANE-09	cantonese_language_claim	unsupported_generalization	L35	PurposeSerialRelations	language_family	MERGE_TRANSPARENT_COMPOSITION	NO	RETIRE_MERGE_OR_RECLASSIFY	Merge into ordinary VP plus parent relation or retain only as a non-language internal child; never assign purpose from V+O form alone.
QuantifiedClassifierNP	LANE-06	cantonese_language_claim	provisional	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Keep overt-head X-C-N and context-dependent X-C-Ø distinct in any future design; preserve overt classifier and never fabricate the missing noun.
QuantifiedPersonNP	LANE-06	cantonese_language_claim	unsupported_generalization	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
QuantifiedTimeNP	LANE-06	cantonese_language_claim	research_pending	L16	ClassifierAndQuantityNP	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split duration, distributive/frequency, conventional 個字 measure, and fragment profiles; remove generic classifier/particle assumptions before implementation.
QuantityNP	LANE-06	cantonese_language_claim	provisional	L16	ClassifierAndQuantityNP	language_family	DECOMPOSE_IMPLEMENTATION_UMBRELLA	NO	RETIRE_PUBLIC_UMBRELLA_AFTER_DECOMPOSITION	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ReduplicatedVP	LANE-10	cantonese_language_claim	research_pending	L37	MannerAndReduplication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
RelativeClauseNP	LANE-06	cantonese_language_claim	research_pending	L19	NominalModificationAndRelatives	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split classifier and ge3 relatives and separate overt construction recognition from disputed gap/internal-head analysis.
RepetitiveComplementVP	LANE-05	cantonese_language_claim	unsupported_generalization	L14	Faan1ComplementProfiles	lexicalized_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	SUPPORTED_BOUNDED_LEXICALIZED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
ReportedSpeech	LANE-08	cantonese_language_claim	provisional	L32	SpeechReportingAndCommunicationEffect	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split lexical 話, complementizer-like/hearsay 話, and reported-thought profiles; keep direct/indirect and CP analyses neutral; require context for one-token reported content.
RestorativeComplementVP	LANE-05	cantonese_language_claim	unsupported_generalization	L14	Faan1ComplementProfiles	lexicalized_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	SUPPORTED_BOUNDED_LEXICALIZED	Preserve frozen behavior; use the R21 source map to split overt form, event class, 返 polysemy, prior-state licensing, and argument composition before any implementation.
ResultComplement	LANE-05	cantonese_language_claim	research_pending	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split lexical RVC, phrasal V-到 result, main arrival, and spatial attainment; remove generic 到 adjacency as language evidence before any implementation.
ResultComplementVP	LANE-05	cantonese_language_claim	research_pending	L12	ResultAndPotentialComplements	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Separate V+好 lexical/result material, V-到 phrasal result, and outer perfective; map exact 好 combinations before implementation.
ResultStateClause	LANE-05	cantonese_language_claim	unsupported_generalization	L15	ResultativeAndChangePredication	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Split scope/focus, lexical changed state, perfective aspect, and particle; avoid exact 熟-only clause ontology.
ScalarEvaluation	LANE-10	cantonese_language_claim	unsupported_generalization	L43	ScalarComparisonAndEvaluation	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R29 source boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
ScalarRangeFragment	LANE-10	cantonese_language_claim	unsupported_generalization	L43	ScalarComparisonAndEvaluation	language_family	RETAIN_LEXICALIZED_PROFILE	LEXICAL_OR_SUBTYPE_ONLY	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
ScalarValueQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	RETAIN_OR_SPLIT_NARROW_SUBTYPE	CONDITIONAL_AFTER_REMEDIATION	NARROW_SUPPORTED_PRODUCTIVE_SUBTYPE_REQUIRED	Preserve the R19 evidence boundaries; any runtime change requires a separate authorized implementation and validation event.
SchedulingQuestion	LANE-07	cantonese_language_claim	unsupported_generalization	L25	TypedWhAndStanceQuestions	language_family	QUARANTINE_EXACT_GAP	CONDITIONAL_AFTER_REMEDIATION	RETIRE_MERGE_OR_RECLASSIFY	Preserve R30 marker, complement, scope, and exact-gap boundaries; any merge, split, retirement, or runtime change requires a separately authorized implementation and validation event.
